% Model,stage5_reference_no_cooper_xoffset055_100g_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 11:44"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
0,6.172244826233064E-13,3.712298689731348E-9
0.025,0.026353892902877957,12.309911521421522
0.05,0.1959511884123103,62.46205682797807
0.07500000000000001,0.4931090066887801,139.89018799054537
0.1,0.7225488133887281,195.54743237994765
0.125,0.7406431093084666,212.9353150944095
0.15000000000000002,0.7428125483455159,221.39941962232058
0.17500000000000002,0.9129413171917268,264.77208914038806
0.2,1.201617761167384,341.24301457520517
0.225,1.4220562666912033,403.87486538084215
0.25,1.496947536520405,424.699113316586
0.275,1.48868351278804,431.09390217492415
0.30000000000000004,1.6025848733857926,468.201189676615
0.325,1.8972564348593854,543.0023583865473
0.35000000000000003,2.1626899055511988,609.8732783073864
0.375,2.2250215548746497,636.6307625032313
0.4,2.216605699343835,641.9781223248974
0.42500000000000004,2.3349775837486213,672.213631793475
0.45,2.5879044250692225,744.4242411865325
0.47500000000000003,2.8630407196975654,815.5595773648611
0.5,2.9798695103709747,848.0074734390516
0.525,2.9643347186218465,852.5987614559398
0.55,3.025477248982069,878.2826713444587
0.5750000000000001,3.298221777872039,944.9999093335957
0.6000000000000001,3.5797854830165234,1019.5778089276837
0.625,3.7047432909873446,1058.672311554119
0.65,3.708906868901954,1066.295324940032
0.675,3.7679745403123683,1084.223328594362
0.7000000000000001,3.977901830021756,1146.3411409223206
0.7250000000000001,4.276156136510906,1221.8464448145305
0.75,4.456406492460934,1269.1161819489653
0.775,4.457306937412537,1278.5776718599516
0.8,4.478234783354544,1294.2831561375538
0.8250000000000001,4.686760405362571,1345.38498676438
0.8500000000000001,4.978543728844388,1423.8924289400659
0.875,5.170076548318599,1476.8731429616398
0.9,5.2091238477075015,1493.738413466712
0.925,5.228028428042443,1501.4682373588696
0.9500000000000001,5.369153800296944,1548.9876521111269
0.9750000000000001,5.670498524562403,1623.3667627882355
1,5.906174892338359,1684.548176091349
1.0250000000000001,5.931452476062628,1694.5734043817808
1.05,5.755997755753353,1652.0568471709491
1.075,5.601433471783134,1612.153960582431
1.1,5.644683414234717,1626.856693187342
1.125,5.861205036637478,1678.6272673906226
1.1500000000000001,5.968046665382073,1696.276032239374
1.175,5.795715411731752,1662.3467895036174
1.2000000000000002,5.597134987552439,1615.6198918884659
1.2,5.597134987552441,1615.6198918884647
1.2049999999999998,5.576560908985045,1611.2612168981198
1.21,5.5726216792857555,1610.574662890307
1.2149999999999999,5.574174227835956,1611.1005240744837
1.22,5.597269499799789,1615.4978308905845
1.2249999999999999,5.623862933562592,1620.506051094938
1.23,5.665089314071534,1628.0932336946344
1.2349999999999999,5.707935570227225,1636.3005847079305
1.24,5.754636748931897,1645.983688191868
1.2449999999999999,5.799009554030999,1656.1650290089178
1.25,5.840831870531819,1666.8921401100672
1.255,5.882042529481661,1680.0501612687958
1.26,5.927701184837507,1697.9240623499952
1.265,5.98676041843628,1725.5060750008283
1.27,6.083072798982994,1769.7412658441986
1.275,6.223944880692894,1826.2433471662919
1.28,6.417534526519354,1895.6590704788493
1.285,6.6710031364777524,1978.4425438915193
1.29,6.990185736602779,2074.6391012790446
1.295,7.397922928684638,2187.3431697643355
1.3,7.865178329784374,2311.4723712626546
1.305,8.378182057966223,2445.0552236633293
1.31,8.923289010183616,2586.1357482347103
1.315,9.485733062449139,2732.51950851644
1.3199999999999998,10.046743886683954,2879.3407350554226
1.325,10.592073567491665,3019.3815609548
1.33,11.111387109130744,3148.0524340918187
1.335,11.585414458276581,3258.590583147536
1.3399999999999999,11.984493008758415,3344.4217789091645
1.345,12.281940435268229,3404.434659850102
1.3499999999999999,12.457862327963307,3441.198393541337
1.355,12.50960616870045,3459.8848630803823
1.3599999999999999,12.453651045130457,3465.150177071652
1.365,12.308801885611306,3457.460917544148
1.3699999999999999,12.098467650157016,3435.2111266681472
1.375,11.84240467688171,3397.4820960482402
1.38,11.56472767844697,3347.1836679983594
1.385,11.291899624282667,3289.8963818011784
1.39,11.046983564693182,3230.727205076773
1.395,10.841515602340003,3173.3091783597497
1.4,10.68274187774504,3122.14357456756
1.405,10.572776703919056,3082.4123507944696
