% Model,stage5_reference_no_cooper_xoffset055_125g_volumetric_skin_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 10:51"
% Table,Table 4 - Volume Average 2
% Time (s),von Mises stress (N/m^2)
0,4.2905327609910305E-10
0.025,6.883703288760459
0.05,31.947667773412032
0.07500000000000001,47.89504789037303
0.1,50.07864412904132
0.125,68.38277793136925
0.15000000000000002,92.2739758036807
0.17500000000000002,97.55730870995981
0.2,106.36045110469856
0.225,132.01625766333623
0.25,145.78612200323602
0.275,148.38546348709727
0.30000000000000004,168.70866636534822
0.325,191.22432594142566
0.35000000000000003,195.53473538530363
0.375,205.83376923442614
0.4,231.16861642033697
0.42500000000000004,244.39402970343875
0.45,247.6122327028913
0.47500000000000003,267.59999540147436
0.5,290.1276894259816
0.525,294.5173816846581
0.55,304.52263338805113
0.5750000000000001,330.3488029396354
0.6000000000000001,343.3228511733931
0.625,346.5325420686549
0.65,366.6246110065979
0.675,388.94136607693497
0.7000000000000001,393.44203568069753
0.7250000000000001,403.814064232427
0.75,429.28338386580793
0.775,442.05823125138033
0.8,445.40617558747397
0.8250000000000001,465.7557215616011
0.8500000000000001,488.1094038984527
0.875,492.25904994808724
0.9,502.701276022586
0.925,528.3211382585062
0.9500000000000001,540.9219695342018
0.9750000000000001,544.4585851073314
1,564.8302983756988
1.0250000000000001,579.9462756709606
1.05,559.5128095189785
1.075,553.5821879959492
1.1,576.8653777331622
1.125,572.432647048826
1.1500000000000001,550.6256782329035
1.175,565.0403434285304
1.2000000000000002,580.1584630919745
1.2,580.1584630919743
1.2049999999999998,578.0563436557538
1.21,574.4007511965928
1.2149999999999999,569.852393771048
1.22,564.4104322707444
1.2249999999999999,559.3265400445924
1.23,554.7882584191449
1.2349999999999999,552.1032905235371
1.24,550.4296498915878
1.2449999999999999,551.3676453097193
1.25,554.5004213930587
1.255,559.5677906103984
1.26,570.6490666496396
1.265,590.2595733907152
1.27,621.2239920601133
1.275,664.7701021035142
1.28,719.4179608978244
1.285,782.6628605546961
1.29,850.6995444971324
1.295,918.9226861014844
1.3,982.5709373623397
1.305,1037.4551128806095
1.31,1080.6275841690072
1.315,1110.6768490356455
1.3199999999999998,1127.6167612015497
1.325,1132.7699744894635
1.33,1128.9335205880266
1.335,1119.3676328450003
1.3399999999999999,1109.3234029805055
1.345,1102.774250863622
1.3499999999999999,1103.3110679005351
1.355,1113.5348158085385
1.3599999999999999,1135.8632748008317
1.365,1168.1087121943747
1.3699999999999999,1207.7786723127551
1.375,1251.2686013672965
1.38,1294.3567866009807
1.385,1331.8534732753487
1.39,1359.9642913594423
1.395,1376.1815827725004
1.4,1378.9276358532452
1.405,1367.8505973339425
1.41,1343.021270158284
1.415,1307.8686036563608
1.42,1266.8201318968465
1.425,1224.3260804425854
1.43,1184.8319545781364
1.435,1152.7690514178505
1.44,1131.0151666139786
1.4449999999999998,1119.7386684186374
1.45,1118.1195592259276
1.455,1124.1047789754407
1.46,1134.754026457636
1.4649999999999999,1145.710489691375
1.47,1152.497508008719
1.475,1151.3240800069989
1.48,1139.121129390466
1.4849999999999999,1113.4443485877116
1.49,1072.6010640985055
1.4949999999999999,1019.7071852432645
1.5,957.8002729288735
1.505,890.8263627578825
1.51,823.1633693404226
1.515,760.0349697199861
1.52,704.7729467227394
1.525,659.7129899853289
1.53,625.9989383834259
1.535,603.4912084562844
1.54,591.6184758851932
1.545,586.0310395343441
1.55,582.6474205761522
1.555,577.1509717125447
1.56,565.4497742852751
1.565,543.0336373794471
1.5699999999999998,508.5753763963127
1.575,462.3769110191874
1.58,405.8245977257736
1.585,341.56309271383344
1.5899999999999999,273.1621574255025
1.595,205.43874160155454
1.6,142.5487609171711
1.605,90.2954116697502
1.6099999999999999,51.33067270097694
1.615,28.672838374757855
1.6199999999999999,17.474605978527677
1.625,10.07495468289718
1.63,11.46152138514752
1.635,21.78036659009802
1.64,31.328930723387987
1.645,35.628876326225054
1.65,31.56878391701427
1.655,17.709207916658315
1.66,11.393032357284428
1.665,44.08011386838679
1.67,85.70976195970655
1.675,130.2608405426857
1.68,173.08320829326624
1.685,209.62636346540057
1.69,235.90794420845316
1.6949999999999998,248.94528800280878
1.7,245.6331899989368
1.705,229.80829740880375
1.71,202.08346726264884
1.7149999999999999,165.5484578409308
1.72,124.31442843183908
1.725,83.53994841633144
1.73,48.4192045721249
1.7349999999999999,22.783326350029505
1.74,12.655318474915042
1.745,10.877625761405795
1.75,7.430346339310807
1.755,5.084475438392716
1.76,16.37423394307757
1.7650000000000001,27.722957915880638
1.77,33.21919241662131
1.775,28.987880860783893
1.7799999999999998,16.916683841176283
1.785,26.368842316539915
1.79,67.34608242521057
1.795,122.6546608555778
1.7999999999999998,186.0606743162347
1.805,253.32226907382164
1.81,319.6919311450832
1.815,380.6726323468426
1.8199999999999998,432.5558671594958
1.825,472.86249393827296
1.83,500.7741231952632
1.835,517.338988643918
1.8399999999999999,525.3187279067228
1.845,528.7606919126536
1.85,532.5740397987636
1.855,540.0571408451701
1.8599999999999999,550.9097482640703
1.865,563.5665005343092
1.87,576.1626870227929
1.875,587.3779086609829
1.88,595.6349531539806
1.885,599.8665227607602
1.8900000000000001,599.5561329956679
1.895,594.7969245797154
1.9,586.271192732855
1.9000000000000001,586.2711927328546
1.925,532.2633253548097
1.9500000000000002,562.3332019023666
1.975,600.1439032401076
2,549.9601835786169
2.0250000000000004,539.5571242265468
2.0500000000000003,595.0027471674723
2.075,575.4762764012665
2.1,530.6516605023045
2.125,574.2241386706177
2.1500000000000004,595.7274441099556
2.1750000000000003,540.4181895090096
2.2,548.7437599577192
