% Model,stage5_reference_no_cooper_xoffset055_125g_volumetric_skin_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 10:51"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (mm),Displacement magnitude (mm),von Mises stress (N/m^2)
0,6.142367801587507E-13,6.142367801587507E-13,3.0464156602716823E-7
0.025,0.025879316258626727,0.025879316258626727,331.15798948699717
0.05,0.1377558956839307,0.1377558956839307,1185.0221924370103
0.07500000000000001,0.20532108848257324,0.20532108848257324,1784.0126815677093
0.1,0.211996509330273,0.211996509330273,1967.067364313598
0.125,0.28955320859175077,0.28955320859175077,2631.91912010095
0.15000000000000002,0.39702970930353354,0.39702970930353354,3454.8104160923526
0.17500000000000002,0.4136630213904816,0.4136630213904816,3749.076239655089
0.2,0.45171208888315506,0.45171208888315506,4110.829033606949
0.225,0.5623019669843371,0.5623019669843371,5003.25910940679
0.25,0.6246203622297228,0.6246203622297228,5526.116137581207
0.275,0.6273243883895178,0.6273243883895178,5731.763024881118
0.30000000000000004,0.7193109430978228,0.7193109430978228,6445.544046109479
0.325,0.8159779545933236,0.8159779545933236,7246.9430893429835
0.35000000000000003,0.8333395539917006,0.8333395539917006,7478.604314209516
0.375,0.8723226742178579,0.8723226742178579,7920.605799491716
0.4,0.9882179408180198,0.9882179408180198,8781.177372463302
0.42500000000000004,1.040772803010846,1.040772803010846,9301.744617482398
0.45,1.0530502743882846,1.0530502743882846,9508.81805344964
0.47500000000000003,1.1380327677359972,1.1380327677359972,10231.904947921237
0.5,1.2398490129763478,1.2398490129763478,11011.227601352302
0.525,1.2515731530479848,1.2515731530479848,11274.218288037642
0.55,1.296059302914842,1.296059302914842,11678.044233613236
0.5750000000000001,1.407409340990016,1.407409340990016,12577.965247649749
0.6000000000000001,1.4650985223881845,1.4650985223881845,13067.209242480532
0.625,1.4715147853889219,1.4715147853889219,13301.912483691905
0.65,1.5620697755049675,1.5620697755049675,13998.789615734431
0.675,1.658347073481818,1.658347073481818,14800.245882345802
0.7000000000000001,1.6756886706269618,1.6756886706269618,15037.970029239248
0.7250000000000001,1.7157251051936921,1.7157251051936921,15479.765392538247
0.75,1.8317061205092922,1.8317061205092922,16343.163897070115
0.775,1.8827884861011217,1.8827884861011217,16855.428157799237
0.8,1.8951252441658137,1.8951252441658137,17058.43786481395
0.8250000000000001,1.9819341990189723,1.9819341990189723,17805.759058929434
0.8500000000000001,2.082984840337301,2.082984840337301,18564.252744605496
0.875,2.0941007114747725,2.0941007114747725,18827.979164655644
0.9,2.1393528121351486,2.1393528121351486,19245.807747713414
0.925,2.2508276468683395,2.2508276468683395,20134.174401284152
0.9500000000000001,2.3064562681004444,2.3064562681004444,20620.62421140168
0.9750000000000001,2.3145199834462677,2.3145199834462677,20855.631715800064
1,2.4061990670365803,2.4061990670365803,21567.44220346339
1.0250000000000001,2.47467504219047,2.47467504219047,22024.870599337086
1.05,2.3816284864351096,2.3816284864351096,21414.177033563188
1.075,2.3510027046787774,2.3510027046787774,21242.855822692545
1.1,2.462265335813339,2.462265335813339,21930.85394011453
1.125,2.440155601928728,2.440155601928728,21806.191856250014
1.1500000000000001,2.339774031881412,2.339774031881412,21143.647671384704
1.175,2.4044986275502986,2.4044986275502986,21593.269412693884
1.2000000000000002,2.4781582735462258,2.4781582735462258,22020.13328358382
1.2,2.478158273546226,2.478158273546226,22020.13328358381
1.2049999999999998,2.467264538197602,2.467264538197602,21970.59652685619
1.21,2.449149776303937,2.449149776303937,21871.46815509086
1.2149999999999999,2.426899080055248,2.426899080055248,21743.61980135832
1.22,2.401353152290027,2.401353152290027,21575.511540027754
1.2249999999999999,2.3779357340002996,2.3779357340002996,21415.936871731734
1.23,2.357763555607445,2.357763555607445,21269.372410939268
1.2349999999999999,2.3464139651844285,2.3464139651844285,21184.909316865924
1.24,2.339651184975478,2.339651184975478,21134.063400382947
1.2449999999999999,2.3440624283293214,2.3440624283293214,21169.23653470425
1.25,2.357141896056979,2.357141896056979,21302.777401263913
1.255,2.3778618451857394,2.3778618451857394,21523.023898642503
1.26,2.4209500692024006,2.4209500692024006,22114.08047082799
1.265,2.4960804945740587,2.4960804945740587,23128.750823307033
1.27,2.616635807046306,2.616635807046306,24506.351068476444
1.275,2.792451982263537,2.792451982263537,26208.330379514664
1.28,3.0221488744099343,3.0221488744099343,28167.552730265415
1.285,3.297819834613883,3.297819834613883,30320.560471088476
1.29,3.6030876971173695,3.6030876971173695,32580.20719876266
