case_id,time_s,avg_displacement_mm,avg_vm_kpa
stage5_no_skin_100g,0,0,0
stage5_no_skin_100g,0.025,0.020405,0.001817
stage5_no_skin_100g,0.05,0.117593,0.012465
stage5_no_skin_100g,0.075,0.261135,0.028537
stage5_no_skin_100g,0.1,0.364787,0.040183
stage5_no_skin_100g,0.125,0.395423,0.042943
stage5_no_skin_100g,0.15,0.412453,0.044292
stage5_no_skin_100g,0.175,0.49391,0.053293
stage5_no_skin_100g,0.2,0.636579,0.069274
stage5_no_skin_100g,0.225,0.752727,0.082063
stage5_no_skin_100g,0.25,0.78968,0.085885
stage5_no_skin_100g,0.275,0.802366,0.086735
stage5_no_skin_100g,0.3,0.875421,0.094519
stage5_no_skin_100g,0.325,1.011605,0.109869
stage5_no_skin_100g,0.35,1.135135,0.123698
stage5_no_skin_100g,0.375,1.185711,0.128826
stage5_no_skin_100g,0.4,1.195924,0.129428
stage5_no_skin_100g,0.425,1.25452,0.135777
stage5_no_skin_100g,0.45,1.387009,0.150455
stage5_no_skin_100g,0.475,1.518874,0.165188
stage5_no_skin_100g,0.5,1.577904,0.171566
stage5_no_skin_100g,0.525,1.589824,0.172304
stage5_no_skin_100g,0.55,1.638786,0.177266
stage5_no_skin_100g,0.575,1.760263,0.190972
stage5_no_skin_100g,0.6,1.897236,0.206237
stage5_no_skin_100g,0.625,1.973712,0.214515
stage5_no_skin_100g,0.65,1.986679,0.215381
stage5_no_skin_100g,0.675,2.022137,0.219078
stage5_no_skin_100g,0.7,2.134632,0.231291
stage5_no_skin_100g,0.725,2.27629,0.247361
stage5_no_skin_100g,0.75,2.363451,0.256866
stage5_no_skin_100g,0.775,2.384464,0.258768
stage5_no_skin_100g,0.8,2.411592,0.261075
stage5_no_skin_100g,0.825,2.506596,0.271814
stage5_no_skin_100g,0.85,2.650942,0.287832
stage5_no_skin_100g,0.875,2.754143,0.299309
stage5_no_skin_100g,0.9,2.782246,0.301904
stage5_no_skin_100g,0.925,2.798586,0.303361
stage5_no_skin_100g,0.95,2.884877,0.312531
stage5_no_skin_100g,0.975,3.025365,0.328454
stage5_no_skin_100g,1,3.138723,0.341082
stage5_no_skin_100g,1.025,3.159818,0.343402
stage5_no_skin_100g,1.05,3.076722,0.333781
stage5_no_skin_100g,1.075,3.002405,0.325186
stage5_no_skin_100g,1.1,3.033161,0.328694
stage5_no_skin_100g,1.125,3.127633,0.339599
stage5_no_skin_100g,1.15,3.161202,0.343859
stage5_no_skin_100g,1.175,3.094706,0.335756
stage5_no_skin_100g,1.2,3.012115,0.326272
stage5_no_skin_100g,1.2,3.012115,0.326272
stage5_no_skin_100g,1.205,3.003601,0.325223
stage5_no_skin_100g,1.21,3.001378,0.324908
stage5_no_skin_100g,1.215,3.001235,0.324836
stage5_no_skin_100g,1.22,3.008937,0.325766
stage5_no_skin_100g,1.225,3.018,0.32687
stage5_no_skin_100g,1.23,3.033224,0.328764
stage5_no_skin_100g,1.235,3.049706,0.330796
stage5_no_skin_100g,1.24,3.069179,0.333154
stage5_no_skin_100g,1.245,3.088947,0.335484
stage5_no_skin_100g,1.25,3.109037,0.337784
stage5_no_skin_100g,1.255,3.132744,0.340214
stage5_no_skin_100g,1.26,3.163246,0.343074
stage5_no_skin_100g,1.265,3.207653,0.346962
stage5_no_skin_100g,1.27,3.280487,0.353494
stage5_no_skin_100g,1.275,3.380766,0.363061
stage5_no_skin_100g,1.28,3.509567,0.376046
stage5_no_skin_100g,1.285,3.667572,0.392713
stage5_no_skin_100g,1.29,3.854559,0.413168
stage5_no_skin_100g,1.295,4.075931,0.438127
stage5_no_skin_100g,1.3,4.318399,0.465699
stage5_no_skin_100g,1.305,4.576455,0.495047
stage5_no_skin_100g,1.31,4.844566,0.525393
stage5_no_skin_100g,1.315,5.116691,0.555954
stage5_no_skin_100g,1.32,5.381103,0.585412
stage5_no_skin_100g,1.325,5.629534,0.613123
stage5_no_skin_100g,1.33,5.857209,0.638676
stage5_no_skin_100g,1.335,6.056121,0.661263
stage5_no_skin_100g,1.34,6.21891,0.680035
stage5_no_skin_100g,1.345,6.342941,0.694506
stage5_no_skin_100g,1.35,6.426714,0.704247
stage5_no_skin_100g,1.355,6.470696,0.709058
stage5_no_skin_100g,1.36,6.47759,0.709108
stage5_no_skin_100g,1.365,6.449556,0.70464
stage5_no_skin_100g,1.37,6.39283,0.696581
stage5_no_skin_100g,1.375,6.313302,0.685904
stage5_no_skin_100g,1.38,6.217629,0.673687
stage5_no_skin_100g,1.385,6.112996,0.660992
stage5_no_skin_100g,1.39,6.006856,0.648759
stage5_no_skin_100g,1.395,5.90689,0.637763
stage5_no_skin_100g,1.4,5.821296,0.628656
stage5_no_skin_100g,1.405,5.755499,0.621715
stage5_no_skin_100g,1.41,5.713753,0.617235
stage5_no_skin_100g,1.415,5.698248,0.615467
stage5_no_skin_100g,1.42,5.708858,0.616559
stage5_no_skin_100g,1.425,5.743168,0.62047
stage5_no_skin_100g,1.43,5.796754,0.626898
stage5_no_skin_100g,1.435,5.863611,0.635243
stage5_no_skin_100g,1.44,5.936571,0.644615
stage5_no_skin_100g,1.445,6.007701,0.6539
stage5_no_skin_100g,1.45,6.067425,0.661716
stage5_no_skin_100g,1.455,6.107544,0.66693
stage5_no_skin_100g,1.46,6.120674,0.668673
stage5_no_skin_100g,1.465,6.100372,0.666344
stage5_no_skin_100g,1.47,6.041697,0.659615
stage5_no_skin_100g,1.475,5.94161,0.648397
stage5_no_skin_100g,1.48,5.799271,0.632791
stage5_no_skin_100g,1.485,5.61623,0.613019
stage5_no_skin_100g,1.49,5.39644,0.589388
stage5_no_skin_100g,1.495,5.146006,0.562296
stage5_no_skin_100g,1.5,4.872057,0.532203
stage5_no_skin_100g,1.505,4.58419,0.499969
stage5_no_skin_100g,1.51,4.292074,0.466716
stage5_no_skin_100g,1.515,4.004173,0.433605
stage5_no_skin_100g,1.52,3.728303,0.401836
stage5_no_skin_100g,1.525,3.471298,0.372496
stage5_no_skin_100g,1.53,3.238705,0.346421
stage5_no_skin_100g,1.535,3.034573,0.324121
stage5_no_skin_100g,1.54,2.861304,0.305742
stage5_no_skin_100g,1.545,2.719541,0.291099
stage5_no_skin_100g,1.55,2.608438,0.279814
stage5_no_skin_100g,1.555,2.526327,0.271519
stage5_no_skin_100g,1.56,2.466567,0.265521
stage5_no_skin_100g,1.565,2.423488,0.261366
