step,filename,vm_mean,vm_median,vm_max,vm_std,J_mean,J_min,J_max,inverted_elements,near_inverted_elements,min_J,max_J,mean_J,max_vm,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,large_ellipsoid.0.vtk,519.4722290039062,491.96539306640625,1913.8958740234375,294.4633483886719,1.0001935958862305,0.9887080192565918,1.0062799453735352,0,0,0.9887080192565918,1.0062799453735352,1.0001935958862305,1913.8958740234375,678.0921020507812,1343.8927001953125,1.000227451324463,1688,477.5247802734375,1913.8958740234375,1.0001846551895142,6383,0.01429876871407032,0.03297240659594536
1,large_ellipsoid.1.vtk,741.2606811523438,653.712890625,2892.94677734375,515.1139526367188,1.0003955364227295,0.9815300107002258,1.008180022239685,0,0,0.9815300107002258,1.008180022239685,1.0003955364227295,2892.94677734375,909.4121704101562,2149.38134765625,1.0004010200500488,1688,696.7926025390625,2892.94677734375,1.0003941059112549,6383,0.014609482139348984,0.03302568569779396
2,large_ellipsoid.2.vtk,689.2590942382812,704.9100952148438,2360.61767578125,374.3424987792969,1.000305414199829,0.9805300235748291,1.0092099905014038,0,0,0.9805300235748291,1.0092099905014038,1.000305414199829,2360.61767578125,942.8663940429688,1640.53076171875,1.0004069805145264,1688,622.1920166015625,2360.61767578125,1.0002784729003906,6383,0.013875070959329605,0.03320284187793732
3,large_ellipsoid.3.vtk,513.946044921875,500.8916015625,1623.9434814453125,218.95115661621094,1.000154972076416,0.9870849847793579,1.005270004272461,0,0,0.9870849847793579,1.005270004272461,1.000154972076416,1623.9434814453125,756.0763549804688,993.082763671875,1.0002667903900146,1688,449.9140625,1623.9434814453125,1.0001254081726074,6383,0.011491086333990097,0.03262185677886009
4,large_ellipsoid.4.vtk,403.396240234375,343.6893005371094,1708.4556884765625,212.99072265625,1.0001280307769775,0.9896780252456665,1.0058799982070923,0,0,0.9896780252456665,1.0058799982070923,1.0001280307769775,1708.4556884765625,508.0589599609375,1069.4490966796875,1.000135064125061,1688,375.7179260253906,1708.4556884765625,1.0001262426376343,6383,0.010415013879537582,0.029818952083587646
5,large_ellipsoid.5.vtk,410.9439697265625,333.5007019042969,1543.81298828125,297.62872314453125,1.000152587890625,0.9915760159492493,1.0057499408721924,0,0,0.9915760159492493,1.0057499408721924,1.000152587890625,1543.81298828125,488.27606201171875,1259.4306640625,1.000140905380249,1688,390.4933166503906,1543.81298828125,1.0001558065414429,6383,0.011260630562901497,0.025610031560063362
6,large_ellipsoid.6.vtk,430.8712463378906,420.8749694824219,1440.843994140625,297.1648254394531,1.0001567602157593,0.9921410083770752,1.005660057067871,0,0,0.9921410083770752,1.005660057067871,1.0001567602157593,1440.843994140625,534.3469848632812,1215.8492431640625,1.0001643896102905,1688,403.5068054199219,1440.843994140625,1.000154733657837,6383,0.012075434438884258,0.02384180761873722
7,large_ellipsoid.7.vtk,470.38262939453125,459.2821960449219,1555.32958984375,269.5944519042969,1.0001643896102905,0.9911659955978394,1.005679965019226,0,0,0.9911659955978394,1.005679965019226,1.0001643896102905,1555.32958984375,606.4171142578125,1180.9151611328125,1.0001914501190186,1688,434.4079895019531,1555.32958984375,1.0001572370529175,6383,0.012885518372058868,0.02629939094185829
8,large_ellipsoid.8.vtk,494.3016357421875,480.1824645996094,1759.3079833984375,275.3568420410156,1.0001739263534546,0.9898070096969604,1.0058799982070923,0,0,0.9898070096969604,1.0058799982070923,1.0001739263534546,1759.3079833984375,646.4363403320312,1224.035888671875,1.0002042055130005,1688,454.0692443847656,1759.3079833984375,1.0001659393310547,6383,0.013590569607913494,0.02941870130598545
9,large_ellipsoid.9.vtk,513.89208984375,487.7306213378906,1922.418701171875,291.13958740234375,1.000187635421753,0.9886630177497864,1.0061399936676025,0,0,0.9886630177497864,1.0061399936676025,1.000187635421753,1922.418701171875,671.0853271484375,1313.0203857421875,1.0002189874649048,1688,472.32196044921875,1922.418701171875,1.000179409980774,6383,0.014143966138362885,0.03255821019411087
10,large_ellipsoid.10.vtk,528.353759765625,494.8025207519531,1994.2576904296875,298.5727233886719,1.000198245048523,0.9879630208015442,1.0063199996948242,0,0,0.9879630208015442,1.0063199996948242,1.000198245048523,1994.2576904296875,690.114501953125,1373.107421875,1.000233769416809,1688,485.57568359375,1994.2576904296875,1.0001888275146484,6383,0.014508872292935848,0.03430221602320671
11,large_ellipsoid.11.vtk,535.7052612304688,503.6932678222656,1998.75244140625,299.4410705566406,1.000203251838684,0.9878600239753723,1.0064300298690796,0,0,0.9878600239753723,1.0064300298690796,1.000203251838684,1998.75244140625,701.9837036132812,1390.524169921875,1.000241994857788,1688,491.7324523925781,1998.75244140625,1.0001928806304932,6383,0.014705232344567776,0.03480788320302963
12,large_ellipsoid.12.vtk,538.197998046875,509.1072692871094,1983.1414794921875,300.50482177734375,1.0002055168151855,0.9879810214042664,1.006469964981079,0,0,0.9879810214042664,1.006469964981079,1.0002055168151855,1983.1414794921875,705.7940063476562,1391.721923828125,1.0002449750900269,1688,493.8768615722656,1983.1414794921875,1.000195026397705,6383,0.014776944182813168,0.0346422903239727
13,large_ellipsoid.13.vtk,537.1452026367188,510.1206970214844,1972.0684814453125,302.477783203125,1.0002058744430542,0.9881070256233215,1.0064599514007568,0,0,0.9881070256233215,1.0064599514007568,1.0002058744430542,1972.0684814453125,702.7506103515625,1389.5042724609375,1.0002437829971313,1688,493.3504943847656,1972.0684814453125,1.000195860862732,6383,0.014752666465938091,0.034211546182632446
14,large_ellipsoid.14.vtk,533.5023193359375,506.2295227050781,1964.18701171875,302.5884094238281,1.0002038478851318,0.9882190227508545,1.0063999891281128,0,0,0.9882190227508545,1.0063999891281128,1.0002038478851318,1964.18701171875,696.5271606445312,1381.0777587890625,1.0002399682998657,1688,490.38995361328125,1964.18701171875,1.0001943111419678,6383,0.014658806845545769,0.03376932069659233
15,large_ellipsoid.15.vtk,528.6350708007812,501.3462219238281,1952.321533203125,300.1570129394531,1.0002000331878662,0.9883490204811096,1.0063400268554688,0,0,0.9883490204811096,1.0063400268554688,1.0002000331878662,1952.321533203125,689.9998779296875,1366.9154052734375,1.0002351999282837,1688,485.9617614746094,1952.321533203125,1.0001907348632812,6383,0.014532356522977352,0.0334344319999218
