step,filename,vm_mean,vm_median,vm_max,vm_std,J_mean,J_min,J_max,inverted_elements,near_inverted_elements,min_J,max_J,mean_J,max_vm,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,light_case.0.vtk,778.7185668945312,668.3177490234375,3170.945556640625,568.1710815429688,1.0004384517669678,0.9857620000839233,1.0104000568389893,0,0,0.9857620000839233,1.0104000568389893,1.0004384517669678,3170.945556640625,1016.4856567382812,2251.4033203125,1.0004602670669556,890,717.5941772460938,3170.945556640625,1.0004329681396484,3462,0.01566385291516781,0.03628651797771454
1,light_case.1.vtk,715.9959716796875,699.84765625,2614.87109375,421.00775146484375,1.0003347396850586,0.9844139814376831,1.0087100267410278,0,0,0.9844139814376831,1.0087100267410278,1.0003347396850586,2614.87109375,1046.2022705078125,1730.600341796875,1.0004650354385376,890,631.1076049804688,2614.87109375,1.0003013610839844,3462,0.015036635100841522,0.03649122267961502
2,light_case.2.vtk,535.6778564453125,508.3984680175781,1835.6524658203125,254.3123016357422,1.0001709461212158,0.9884819984436035,1.0060700178146362,0,0,0.9884819984436035,1.0060700178146362,1.0001709461212158,1835.6524658203125,845.5899047851562,1122.5589599609375,1.000311255455017,890,456.0066223144531,1835.6524658203125,1.0001349449157715,3462,0.012684134766459465,0.03632505610585213
3,light_case.3.vtk,428.3323059082031,362.5120849609375,1787.28662109375,223.486572265625,1.0001353025436401,0.9886029958724976,1.006119966506958,0,0,0.9886029958724976,1.006119966506958,1.0001353025436401,1787.28662109375,594.6309814453125,1068.7735595703125,1.0001702308654785,890,385.580810546875,1787.28662109375,1.0001263618469238,3462,0.01155393198132515,0.034063778817653656
4,light_case.4.vtk,449.286865234375,359.9813232421875,1747.839111328125,320.89813232421875,1.0001782178878784,0.9903839826583862,1.006500005722046,0,0,0.9903839826583862,1.006500005722046,1.0001782178878784,1747.839111328125,580.642822265625,1331.239501953125,1.0001766681671143,890,415.518310546875,1747.839111328125,1.0001786947250366,3462,0.012315741740167141,0.030118318274617195
5,light_case.5.vtk,465.734619140625,427.0848693847656,1622.9842529296875,331.47576904296875,1.000184178352356,0.9912970066070557,1.006250023841858,0,0,0.9912970066070557,1.006250023841858,1.000184178352356,1622.9842529296875,621.2650756835938,1316.055419921875,1.0002009868621826,890,425.7513732910156,1622.9842529296875,1.0001800060272217,3462,0.013044079765677452,0.0277638528496027
6,light_case.6.vtk,495.931640625,463.9027099609375,1691.9041748046875,310.7216491699219,1.0001875162124634,0.9908890128135681,1.0062899589538574,0,0,0.9908890128135681,1.0062899589538574,1.0001875162124634,1691.9041748046875,682.3460693359375,1272.2427978515625,1.0002241134643555,890,448.00872802734375,1691.9041748046875,1.0001779794692993,3462,0.013785740360617638,0.02898337133228779
7,light_case.7.vtk,517.91064453125,485.19696044921875,1879.0460205078125,308.276611328125,1.0001929998397827,0.9899539947509766,1.0065399408340454,0,0,0.9899539947509766,1.0065399408340454,1.0001929998397827,1879.0460205078125,721.6951293945312,1287.6680908203125,1.000235676765442,890,465.52239990234375,1879.0460205078125,1.000182032585144,3462,0.01440852228552103,0.031920477747917175
8,light_case.8.vtk,534.654296875,491.8114013671875,2058.106689453125,321.8107604980469,1.0002050399780273,0.9891960024833679,1.0069199800491333,0,0,0.9891960024833679,1.0069199800491333,1.0002050399780273,2058.106689453125,745.3553466796875,1352.6383056640625,1.0002487897872925,890,480.48797607421875,2058.106689453125,1.00019371509552,3462,0.014890952035784721,0.0348992682993412
9,light_case.9.vtk,548.2485961914062,492.9107666015625,2152.933349609375,332.0262451171875,1.0002168416976929,0.9888200163841248,1.0072300434112549,0,0,0.9888200163841248,1.0072300434112549,1.0002168416976929,2152.933349609375,764.6763916015625,1412.6392822265625,1.0002645254135132,890,492.61004638671875,2152.933349609375,1.0002045631408691,3462,0.015228502452373505,0.03686068207025528
