step,filename,vm_mean,vm_median,vm_max,vm_std,J_mean,J_min,J_max,inverted_elements,near_inverted_elements,min_J,max_J,mean_J,max_vm,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,medium_case.0.vtk,728.9732666015625,596.0347290039062,2888.613525390625,551.1546020507812,1.0004112720489502,0.9852510094642639,1.0105500221252441,0,0,0.9852510094642639,1.0105500221252441,1.0004112720489502,2888.613525390625,936.6900024414062,2366.277099609375,1.0004202127456665,2087,671.8956298828125,2888.613525390625,1.0004087686538696,7595,0.016705986112356186,0.03664352372288704
1,medium_case.1.vtk,686.0167236328125,682.0386352539062,2308.38134765625,416.0289611816406,1.0003252029418945,0.9839640259742737,1.0088800191879272,0,0,0.9839640259742737,1.0088800191879272,1.0003252029418945,2308.38134765625,982.4895629882812,1815.126220703125,1.000434160232544,2087,604.5501098632812,2308.38134765625,1.0002954006195068,7595,0.01590193621814251,0.03688063472509384
2,medium_case.2.vtk,529.7484741210938,510.74072265625,1591.9798583984375,253.56680297851562,1.0001722574234009,0.98785001039505,1.0059499740600586,0,0,0.98785001039505,1.0059499740600586,1.0001722574234009,1591.9798583984375,815.5840454101562,1166.7498779296875,1.0002965927124023,2087,451.20489501953125,1591.9798583984375,1.0001381635665894,7595,0.013639369048178196,0.03674815967679024
3,medium_case.3.vtk,420.6964111328125,357.98895263671875,1683.3123779296875,219.54762268066406,1.0001341104507446,0.9896810054779053,1.0063400268554688,0,0,0.9896810054779053,1.0063400268554688,1.0001341104507446,1683.3123779296875,574.4282836914062,1147.7066650390625,1.000156283378601,2087,378.4530334472656,1683.3123779296875,1.000127911567688,7595,0.012647519819438457,0.034569863229990005
4,medium_case.4.vtk,425.4697265625,326.7445068359375,1629.456787109375,313.59130859375,1.0001682043075562,0.9904699921607971,1.006600022315979,0,0,0.9904699921607971,1.006600022315979,1.0001682043075562,1629.456787109375,540.6122436523438,1414.3992919921875,1.0001623630523682,2087,393.8301696777344,1629.456787109375,1.0001698732376099,7595,0.013405228964984417,0.030522068962454796
5,medium_case.5.vtk,439.70941162109375,400.725341796875,1493.22119140625,326.1766662597656,1.0001760721206665,0.9908450245857239,1.0064300298690796,0,0,0.9908450245857239,1.0064300298690796,1.0001760721206665,1493.22119140625,574.3038940429688,1389.4425048828125,1.000185251235962,2087,402.72479248046875,1493.22119140625,1.000173568725586,7595,0.01416383869946003,0.028024347499012947
6,medium_case.6.vtk,472.1009216308594,443.66864013671875,1552.7169189453125,302.0059509277344,1.0001803636550903,0.9906290173530579,1.0062700510025024,0,0,0.9906290173530579,1.0062700510025024,1.0001803636550903,1552.7169189453125,638.9773559570312,1344.4654541015625,1.0002104043960571,2087,426.24554443359375,1552.7169189453125,1.0001721382141113,7595,0.0149387763813138,0.02919928915798664
7,medium_case.7.vtk,494.0849914550781,465.3143615722656,1705.7889404296875,298.34490966796875,1.0001856088638306,0.9904459714889526,1.0064799785614014,0,0,0.9904459714889526,1.0064799785614014,1.0001856088638306,1705.7889404296875,678.2884521484375,1356.9134521484375,1.0002202987670898,2087,443.4684753417969,1705.7889404296875,1.000175952911377,7595,0.015605302527546883,0.03217506781220436
8,medium_case.8.vtk,509.183837890625,470.26885986328125,1858.7156982421875,311.67041015625,1.0001962184906006,0.9904549717903137,1.006890058517456,0,0,0.9904549717903137,1.006890058517456,1.0001962184906006,1858.7156982421875,698.935791015625,1426.287109375,1.0002304315567017,2087,457.042724609375,1858.7156982421875,1.000186800956726,7595,0.01613287627696991,0.035199932754039764
9,medium_case.9.vtk,522.2685546875,473.0371398925781,1938.6488037109375,321.4256896972656,1.0002069473266602,0.9897850155830383,1.0072400569915771,0,0,0.9897850155830383,1.0072400569915771,1.0002069473266602,1938.6488037109375,716.7288208007812,1492.130126953125,1.0002447366714478,2087,468.8335876464844,1938.6488037109375,1.0001965761184692,7595,0.016507042571902275,0.03718535229563713
10,medium_case.10.vtk,530.5196533203125,478.70123291015625,1950.2698974609375,324.0775146484375,1.0002127885818481,0.9896379709243774,1.0074000358581543,0,0,0.9896379709243774,1.0074000358581543,1.0002127885818481,1950.2698974609375,730.4548950195312,1521.6151123046875,1.0002548694610596,2087,475.5801696777344,1950.2698974609375,1.0002012252807617,7595,0.016738807782530785,0.03799526393413544
11,medium_case.11.vtk,534.6663818359375,485.8355712890625,1937.504150390625,324.90875244140625,1.0002158880233765,0.9897080063819885,1.0074399709701538,0,0,0.9897080063819885,1.0074399709701538,1.0002158880233765,1937.504150390625,737.7662963867188,1528.6727294921875,1.0002598762512207,2087,478.85736083984375,1937.504150390625,1.0002037286758423,7595,0.016863327473402023,0.03808733820915222
12,medium_case.12.vtk,535.7461547851562,489.0279235839844,1930.388671875,326.8266296386719,1.0002174377441406,0.9897710084915161,1.0074299573898315,0,0,0.9897710084915161,1.0074299573898315,1.0002174377441406,1930.388671875,738.1666259765625,1530.5054931640625,1.000260829925537,2087,480.12384033203125,1930.388671875,1.000205636024475,7595,0.016902966424822807,0.037843748927116394
13,medium_case.13.vtk,534.400634765625,488.3218994140625,1930.417236328125,328.2143859863281,1.000217318534851,0.9898020029067993,1.0074000358581543,0,0,0.9898020029067993,1.0074000358581543,1.000217318534851,1930.417236328125,734.443603515625,1528.10302734375,1.0002589225769043,2087,479.431640625,1930.417236328125,1.0002058744430542,7595,0.01687023602426052,0.03749709576368332
14,medium_case.14.vtk,531.5017700195312,485.6895446777344,1927.858642578125,327.4413757324219,1.0002152919769287,0.9898480176925659,1.007349967956543,0,0,0.9898480176925659,1.007349967956543,1.0002152919769287,1927.858642578125,729.744873046875,1519.318115234375,1.0002557039260864,2087,477.0273132324219,1927.858642578125,1.0002042055130005,7595,0.01678687334060669,0.03718942403793335
15,medium_case.15.vtk,528.0517578125,482.1385498046875,1918.447509765625,325.06890869140625,1.0002121925354004,0.9899349808692932,1.0073000192642212,0,0,0.9899349808692932,1.0073000192642212,1.0002121925354004,1918.447509765625,725.3465576171875,1507.4163818359375,1.0002522468566895,2087,473.8378601074219,1918.447509765625,1.0002013444900513,7595,0.01668389141559601,0.03696822375059128
16,medium_case.16.vtk,524.856201171875,479.04302978515625,1905.4798583984375,322.59991455078125,1.0002095699310303,0.9900429844856262,1.0072499513626099,0,0,0.9900429844856262,1.0072499513626099,1.0002095699310303,1905.4798583984375,721.359619140625,1497.3212890625,1.0002491474151611,2087,470.8598327636719,1905.4798583984375,1.0001986026763916,7595,0.016588695347309113,0.036812152713537216
17,medium_case.17.vtk,522.3726806640625,476.37384033203125,1893.7689208984375,320.93157958984375,1.0002080202102661,0.9901419878005981,1.0072200298309326,0,0,0.9901419878005981,1.0072200298309326,1.0002080202102661,1893.7689208984375,717.9183959960938,1491.07861328125,1.0002471208572388,2087,468.63946533203125,1893.7689208984375,1.000197172164917,7595,0.016516413539648056,0.03668832406401634
