step,filename,vm_mean,vm_median,vm_max,vm_std,J_mean,J_min,J_max,inverted_elements,near_inverted_elements,min_J,max_J,mean_J,max_vm,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,adipose_radial_gradient.0.vtk,502.1471252441406,470.92413330078125,1866.429931640625,292.6924133300781,1.0001825094223022,0.9902939796447754,1.0060499906539917,0,0,0.9902939796447754,1.0060499906539917,1.0001825094223022,1866.429931640625,653.5191040039062,1312.8555908203125,1.0002081394195557,2087,460.5522155761719,1866.429931640625,1.0001754760742188,7595,0.014971713535487652,0.03299005702137947
1,adipose_radial_gradient.1.vtk,710.5996704101562,599.650634765625,2855.26025390625,510.2519226074219,1.0003727674484253,0.9858989715576172,1.0089999437332153,0,0,0.9858989715576172,1.0089999437332153,1.0003727674484253,2855.26025390625,870.139404296875,2105.17138671875,1.0003703832626343,2087,666.7603759765625,2855.26025390625,1.0003736019134521,7595,0.015211493708193302,0.03303762525320053
2,adipose_radial_gradient.2.vtk,669.9992065429688,691.732666015625,2286.4755859375,376.3533020019531,1.0002925395965576,0.9848089814186096,1.0074800252914429,0,0,0.9848089814186096,1.0074800252914429,1.0002925395965576,2286.4755859375,913.5746459960938,1592.53173828125,1.0003809928894043,2087,603.068115234375,2286.4755859375,1.0002681016921997,7595,0.014389773830771446,0.033262696117162704
3,adipose_radial_gradient.3.vtk,507.4761962890625,496.1134033203125,1585.3544921875,221.04315185546875,1.0001477003097534,0.9894710183143616,1.004870057106018,0,0,0.9894710183143616,1.004870057106018,1.0001477003097534,1585.3544921875,742.1371459960938,999.405029296875,1.0002473592758179,2087,442.9946594238281,1585.3544921875,1.0001201629638672,7595,0.012024763971567154,0.03278215974569321
4,adipose_radial_gradient.4.vtk,394.263916015625,332.9908447265625,1700.9300537109375,213.48895263671875,1.0001212358474731,0.9899389743804932,1.005370020866394,0,0,0.9899389743804932,1.005370020866394,1.0001212358474731,1700.9300537109375,496.84637451171875,1065.1959228515625,1.000124454498291,2087,366.0756530761719,1700.9300537109375,1.0001202821731567,7595,0.010989855043590069,0.02996538020670414
5,adipose_radial_gradient.5.vtk,396.1920166015625,303.44256591796875,1531.280517578125,297.0272521972656,1.0001451969146729,0.9910849928855896,1.0054600238800049,0,0,0.9910849928855896,1.0054600238800049,1.0001451969146729,1531.280517578125,467.92449951171875,1265.22119140625,1.0001291036605835,2087,376.4809265136719,1531.280517578125,1.0001494884490967,7595,0.011817868798971176,0.025738511234521866
6,adipose_radial_gradient.6.vtk,416.041748046875,398.53643798828125,1437.923828125,296.72540283203125,1.0001506805419922,0.9913330078125,1.0052200555801392,0,0,0.9913330078125,1.0052200555801392,1.0001506805419922,1437.923828125,512.6876831054688,1200.13232421875,1.0001529455184937,2087,389.48480224609375,1437.923828125,1.0001500844955444,7595,0.012670963071286678,0.023957928642630577
7,adipose_radial_gradient.7.vtk,457.263671875,443.3515625,1537.262451171875,268.05328369140625,1.0001564025878906,0.9908310174942017,1.005139946937561,0,0,0.9908310174942017,1.005139946937561,1.0001564025878906,1537.262451171875,588.0826416015625,1168.6785888671875,1.000177264213562,2087,421.31646728515625,1537.262451171875,1.0001506805419922,7595,0.013538244180381298,0.026516634970903397
8,adipose_radial_gradient.8.vtk,479.8591613769531,463.38525390625,1723.716796875,274.0526123046875,1.0001646280288696,0.9903820157051086,1.0054600238800049,0,0,0.9903820157051086,1.0054600238800049,1.0001646280288696,1723.716796875,626.6270751953125,1203.2747802734375,1.000187635421753,2087,439.52935791015625,1723.716796875,1.0001583099365234,7595,0.014273523353040218,0.02955830842256546
9,adipose_radial_gradient.9.vtk,497.513671875,467.42193603515625,1880.5570068359375,289.8433837890625,1.0001773834228516,0.9903140068054199,1.0059200525283813,0,0,0.9903140068054199,1.0059200525283813,1.0001773834228516,1880.5570068359375,647.9829711914062,1286.6796875,1.000200629234314,2087,456.16680908203125,1880.5570068359375,1.0001710653305054,7595,0.014836507849395275,0.032662320882081985
10,adipose_radial_gradient.10.vtk,510.9571228027344,473.9971923828125,1949.340087890625,296.857421875,1.0001871585845947,0.990369975566864,1.0062099695205688,0,0,0.990369975566864,1.0062099695205688,1.0001871585845947,1949.340087890625,665.2092895507812,1341.3673095703125,1.000213861465454,2087,468.5708312988281,1949.340087890625,1.0001797676086426,7595,0.015201760455965996,0.03435562178492546
