step,filename,vm_mean,vm_median,vm_max,vm_std,J_mean,J_min,J_max,inverted_elements,near_inverted_elements,min_J,max_J,mean_J,max_vm,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,manual_lobules_balanced.0.vtk,514.911376953125,479.7303161621094,1844.7762451171875,305.0408630371094,1.0002018213272095,0.9884390234947205,1.0060399770736694,0,0,0.9884390234947205,1.0060399770736694,1.0002018213272095,1844.7762451171875,705.3519897460938,1437.5086669921875,1.000244140625,1688,464.5489196777344,1844.7762451171875,1.0001906156539917,6383,0.015126381069421768,0.034813929349184036
1,manual_lobules_balanced.1.vtk,730.6033325195312,627.781494140625,2781.110595703125,528.0973510742188,1.0004061460494995,0.9815390110015869,1.0085699558258057,0,0,0.9815390110015869,1.0085699558258057,1.0004061460494995,2781.110595703125,937.2083740234375,2286.39501953125,1.000421166419983,1688,675.966064453125,2781.110595703125,1.0004022121429443,6383,0.0154256671667099,0.03486834466457367
2,manual_lobules_balanced.2.vtk,678.791748046875,682.8082275390625,2241.740234375,389.62188720703125,1.0003145933151245,0.9802590012550354,1.010040044784546,0,0,0.9802590012550354,1.010040044784546,1.0003145933151245,2241.740234375,971.75830078125,1755.392578125,1.0004277229309082,1688,601.31591796875,2241.740234375,1.0002847909927368,6383,0.014692619442939758,0.03507457673549652
3,manual_lobules_balanced.3.vtk,511.8136901855469,491.2275695800781,1562.784912109375,233.7836151123047,1.0001626014709473,0.9863119721412659,1.0050599575042725,0,0,0.9863119721412659,1.0050599575042725,1.0001626014709473,1562.784912109375,787.9489135742188,1084.4114990234375,1.000286340713501,1688,438.7890625,1562.784912109375,1.0001299381256104,6383,0.012358155101537704,0.03461621329188347
4,manual_lobules_balanced.4.vtk,412.9952697753906,341.6201171875,1734.738037109375,229.56350708007812,1.0001420974731445,0.9886860251426697,1.006700038909912,0,0,0.9886860251426697,1.006700038909912,1.0001420974731445,1734.738037109375,543.093505859375,1188.1015625,1.000152826309204,1688,378.5904846191406,1734.738037109375,1.0001393556594849,6383,0.011379262432456017,0.03203084319829941
5,manual_lobules_balanced.5.vtk,416.900634765625,331.8250427246094,1535.506591796875,306.50115966796875,1.0001636743545532,0.9909539818763733,1.0056899785995483,0,0,0.9909539818763733,1.0056899785995483,1.0001636743545532,1535.506591796875,524.9618530273438,1357.18408203125,1.0001585483551025,1688,388.32354736328125,1535.506591796875,1.0001651048660278,6383,0.012170696631073952,0.02804831601679325
6,manual_lobules_balanced.6.vtk,433.0596008300781,410.7901306152344,1412.9354248046875,307.05181884765625,1.0001676082611084,0.9917320013046265,1.0057599544525146,0,0,0.9917320013046265,1.0057599544525146,1.0001676082611084,1412.9354248046875,567.644775390625,1311.9368896484375,1.0001826286315918,1688,397.4682312011719,1412.9354248046875,1.0001636743545532,6383,0.012920529581606388,0.026160208508372307
7,manual_lobules_balanced.7.vtk,467.9602966308594,447.1748962402344,1499.5328369140625,278.2957458496094,1.0001723766326904,0.9909120202064514,1.0055099725723267,0,0,0.9909120202064514,1.0055099725723267,1.0001723766326904,1499.5328369140625,633.0294799804688,1267.597412109375,1.0002073049545288,1688,424.30731201171875,1499.5328369140625,1.000163197517395,6383,0.013680845499038696,0.027964260429143906
8,manual_lobules_balanced.8.vtk,489.5484924316406,467.1883239746094,1686.0250244140625,281.8619079589844,1.0001800060272217,0.9896069765090942,1.0056500434875488,0,0,0.9896069765090942,1.0056500434875488,1.0001800060272217,1686.0250244140625,669.8306884765625,1301.6719970703125,1.0002179145812988,1688,441.8724365234375,1686.0250244140625,1.0001699924468994,6383,0.014352944679558277,0.03080204501748085
9,manual_lobules_balanced.9.vtk,506.4574890136719,474.48974609375,1840.0244140625,299.9853210449219,1.0001933574676514,0.9885269999504089,1.00586998462677,0,0,0.9885269999504089,1.00586998462677,1.0001933574676514,1840.0244140625,692.4866943359375,1391.260009765625,1.0002315044403076,1688,457.26165771484375,1840.0244140625,1.000183343887329,6383,0.014890714548528194,0.033841412514448166
10,manual_lobules_balanced.10.vtk,520.093017578125,480.4981384277344,1909.0567626953125,309.2340393066406,1.0002045631408691,0.9878110289573669,1.0060499906539917,0,0,0.9878110289573669,1.0060499906539917,1.0002045631408691,1909.0567626953125,712.0377807617188,1457.96630859375,1.0002471208572388,1688,469.3326721191406,1909.0567626953125,1.0001933574676514,6383,0.015252608805894852,0.035759951919317245
11,manual_lobules_balanced.11.vtk,527.4375,486.97357177734375,1914.34716796875,309.8865661621094,1.0002094507217407,0.9876909852027893,1.0061399936676025,0,0,0.9876909852027893,1.0061399936676025,1.0002094507217407,1914.34716796875,725.19677734375,1480.028564453125,1.0002562999725342,1688,475.1395568847656,1914.34716796875,1.0001970529556274,6383,0.01545548066496849,0.036456987261772156
12,manual_lobules_balanced.12.vtk,530.4736938476562,492.42864990234375,1900.8018798828125,309.9379577636719,1.0002115964889526,0.9877889752388,1.0061999559402466,0,0,0.9877889752388,1.0061999559402466,1.0002115964889526,1900.8018798828125,730.5132446289062,1482.5416259765625,1.0002598762512207,1688,477.5726623535156,1900.8018798828125,1.0001988410949707,6383,0.015546407550573349,0.036434464156627655
13,manual_lobules_balanced.13.vtk,530.5371704101562,494.6104736328125,1893.02490234375,311.7416076660156,1.000212550163269,0.9878820180892944,1.0061999559402466,0,0,0.9878820180892944,1.0061999559402466,1.000212550163269,1893.02490234375,728.873046875,1481.87353515625,1.000259518623352,1688,478.0867919921875,1893.02490234375,1.0002001523971558,6383,0.015552624128758907,0.03609021008014679
14,manual_lobules_balanced.14.vtk,528.2459716796875,492.61407470703125,1889.7535400390625,312.7007751464844,1.0002117156982422,0.9879559874534607,1.006160020828247,0,0,0.9879559874534607,1.006160020828247,1.0002117156982422,1889.7535400390625,723.7694091796875,1476.34033203125,1.0002567768096924,1688,476.5393371582031,1889.7535400390625,1.000199794769287,6383,0.015490670688450336,0.0356781929731369
