step,filename,vm_mean,vm_median,vm_max,vm_std,J_mean,J_min,J_max,inverted_elements,near_inverted_elements,min_J,max_J,mean_J,max_vm,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,manual_lobules_dense.0.vtk,509.3953552246094,469.15582275390625,1846.9249267578125,302.2193908691406,1.000195860862732,0.9870679974555969,1.007580041885376,0,0,0.9870679974555969,1.007580041885376,1.000195860862732,1846.9249267578125,709.8280639648438,1429.656982421875,1.0002456903457642,2550,455.9550476074219,1846.9249267578125,1.0001827478408813,9564,0.0154701117426157,0.034951914101839066
1,manual_lobules_dense.1.vtk,717.2573852539062,601.0968017578125,2799.4775390625,520.3335571289062,1.0003926753997803,0.9795219898223877,1.0109200477600098,0,0,0.9795219898223877,1.0109200477600098,1.0003926753997803,2799.4775390625,945.8150024414062,2277.8974609375,1.00042724609375,2550,656.3182373046875,2799.4775390625,1.0003833770751953,9564,0.015617556869983673,0.035009123384952545
2,manual_lobules_dense.2.vtk,672.8334350585938,675.7537841796875,2205.894775390625,387.2980041503906,1.0003063678741455,0.9770020246505737,1.009310007095337,0,0,0.9770020246505737,1.009310007095337,1.0003063678741455,2205.894775390625,978.7239379882812,1736.3763427734375,1.0004308223724365,2550,591.275390625,2205.894775390625,1.0002729892730713,9564,0.01478895265609026,0.03523482009768486
3,manual_lobules_dense.3.vtk,511.6277160644531,493.47113037109375,1523.714599609375,232.73748779296875,1.0001564025878906,0.9841859936714172,1.0062999725341797,0,0,0.9841859936714172,1.0062999725341797,1.0001564025878906,1523.714599609375,788.7139892578125,1079.226318359375,1.0002814531326294,2550,437.7496337890625,1523.714599609375,1.0001229047775269,9564,0.012488525360822678,0.03480824455618858
4,manual_lobules_dense.4.vtk,403.056640625,338.1968688964844,1685.107177734375,214.56629943847656,1.0001277923583984,0.9899870157241821,1.0060399770736694,0,0,0.9899870157241821,1.0060399770736694,1.0001277923583984,1685.107177734375,542.7384033203125,1173.0833740234375,1.0001475811004639,2550,365.8139953613281,1685.107177734375,1.0001224279403687,9564,0.011596531607210636,0.03223850578069687
5,manual_lobules_dense.5.vtk,411.23779296875,319.847412109375,1571.50830078125,304.1235656738281,1.0001585483551025,0.9910879731178284,1.0068999528884888,0,0,0.9910879731178284,1.0068999528884888,1.0001585483551025,1571.50830078125,532.455810546875,1352.610595703125,1.0001614093780518,2550,378.9180908203125,1571.50830078125,1.0001577138900757,9564,0.012473863549530506,0.028228698298335075
6,manual_lobules_dense.6.vtk,428.85565185546875,403.65716552734375,1440.200927734375,306.53594970703125,1.0001647472381592,0.9917370080947876,1.0067499876022339,0,0,0.9917370080947876,1.0067499876022339,1.0001647472381592,1440.200927734375,574.9365844726562,1317.3472900390625,1.0001866817474365,2550,389.9068298339844,1440.200927734375,1.0001589059829712,9564,0.013253848068416119,0.026309121400117874
7,manual_lobules_dense.7.vtk,463.3228454589844,441.18634033203125,1517.33349609375,277.5425109863281,1.0001683235168457,0.9907119870185852,1.006659984588623,0,0,0.9907119870185852,1.006659984588623,1.0001683235168457,1517.33349609375,637.060302734375,1279.052490234375,1.0002083778381348,2550,417.0001220703125,1517.33349609375,1.0001577138900757,9564,0.014014351181685925,0.02802308090031147
8,manual_lobules_dense.8.vtk,484.61846923828125,459.76983642578125,1693.04248046875,279.3879699707031,1.0001747608184814,0.98887699842453,1.0068999528884888,0,0,0.98887699842453,1.0068999528884888,1.0001747608184814,1693.04248046875,673.5656127929688,1306.48095703125,1.0002182722091675,2550,434.240478515625,1693.04248046875,1.000163197517395,9564,0.014684759080410004,0.0309034064412117
9,manual_lobules_dense.9.vtk,500.6904296875,464.6029052734375,1839.2813720703125,296.65313720703125,1.0001873970031738,0.9872210025787354,1.0073200464248657,0,0,0.9872210025787354,1.0073200464248657,1.0001873970031738,1839.2813720703125,696.4898681640625,1386.212646484375,1.000232219696045,2550,448.4854736328125,1839.2813720703125,1.0001754760742188,9564,0.015222816728055477,0.03393956646323204
10,manual_lobules_dense.10.vtk,513.8912963867188,468.236572265625,1906.1407470703125,305.8883972167969,1.0001978874206543,0.9863499999046326,1.0076500177383423,0,0,0.9863499999046326,1.0076500177383423,1.0001978874206543,1906.1407470703125,715.8989868164062,1446.9130859375,1.000247836112976,2550,460.03106689453125,1906.1407470703125,1.0001846551895142,9564,0.015585336834192276,0.035866979509592056
11,manual_lobules_dense.11.vtk,521.3052368164062,475.6937255859375,1911.9345703125,306.767333984375,1.0002025365829468,0.9861890077590942,1.0077999830245972,0,0,0.9861890077590942,1.0077999830245972,1.0002025365829468,1911.9345703125,728.8870849609375,1467.4544677734375,1.0002567768096924,2550,465.958740234375,1911.9345703125,1.0001879930496216,9564,0.015789784491062164,0.0365736223757267
12,manual_lobules_dense.12.vtk,524.4986572265625,480.9466552734375,1898.8450927734375,306.89654541015625,1.0002045631408691,0.9863010048866272,1.0078400373458862,0,0,0.9863010048866272,1.0078400373458862,1.0002045631408691,1898.8450927734375,734.3197631835938,1470.504150390625,1.0002602338790894,2550,468.55511474609375,1898.8450927734375,1.0001896619796753,9564,0.015884893015027046,0.03655560687184334
