step,filename,vm_mean,vm_median,vm_max,vm_std,J_mean,J_min,J_max,inverted_elements,near_inverted_elements,min_J,max_J,mean_J,max_vm,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,radial_alpha_high.0.vtk,504.79559326171875,480.11767578125,1906.1201171875,286.4476013183594,1.0001779794692993,0.9902169704437256,1.0055999755859375,0,0,0.9902169704437256,1.0055999755859375,1.0001779794692993,1906.1201171875,636.0388793945312,1257.33642578125,1.0001988410949707,2087,468.73175048828125,1906.1201171875,1.0001721382141113,7595,0.014406776055693626,0.03177598491311073
1,radial_alpha_high.1.vtk,718.722900390625,614.130859375,2946.000732421875,505.1856994628906,1.0003679990768433,0.985846996307373,1.0084500312805176,0,0,0.985846996307373,1.0084500312805176,1.0003679990768433,2946.000732421875,851.9473876953125,2052.19384765625,1.000357747077942,2087,682.1146850585938,2946.000732421875,1.0003708600997925,7595,0.014642473310232162,0.0318245030939579
2,radial_alpha_high.2.vtk,676.5936889648438,706.0086059570312,2353.392578125,366.9385681152344,1.0002864599227905,0.984906017780304,1.0069299936294556,0,0,0.984906017780304,1.0069299936294556,1.0002864599227905,2353.392578125,894.4305419921875,1525.166259765625,1.0003676414489746,2087,616.7352294921875,2353.392578125,1.0002641677856445,7595,0.013816691935062408,0.03202078491449356
3,radial_alpha_high.3.vtk,507.70611572265625,500.7987060546875,1617.0914306640625,211.77523803710938,1.0001426935195923,0.9899240136146545,1.0049400329589844,0,0,0.9899240136146545,1.0049400329589844,1.0001426935195923,1617.0914306640625,720.7930908203125,961.597900390625,1.0002350807189941,2087,449.1527404785156,1617.0914306640625,1.000117301940918,7595,0.01141897402703762,0.03141937404870987
4,radial_alpha_high.4.vtk,387.5643615722656,332.27972412109375,1684.7425537109375,204.6947479248047,1.000112771987915,0.9902780055999756,1.0049099922180176,0,0,0.9902780055999756,1.0049099922180176,1.000112771987915,1684.7425537109375,473.2538757324219,996.0658569335938,1.0001142024993896,2087,364.0180969238281,1684.7425537109375,1.0001124143600464,7595,0.010331462137401104,0.028430968523025513
5,radial_alpha_high.5.vtk,391.3296203613281,301.9720458984375,1530.2313232421875,292.2145690917969,1.0001379251480103,0.9912909865379333,1.0050100088119507,0,0,0.9912909865379333,1.0050100088119507,1.0001379251480103,1530.2313232421875,443.8385009765625,1215.40625,1.0001184940338135,2087,376.9009094238281,1530.2313232421875,1.00014328956604,7595,0.011199424043297768,0.024074897170066833
6,radial_alpha_high.6.vtk,414.6754150390625,404.76318359375,1469.787353515625,290.84075927734375,1.0001448392868042,0.9914500117301941,1.004830002784729,0,0,0.9914500117301941,1.004830002784729,1.0001448392868042,1469.787353515625,492.3566589355469,1146.343505859375,1.0001438856124878,2087,393.32965087890625,1469.787353515625,1.0001450777053833,7595,0.01210066769272089,0.022470517084002495
7,radial_alpha_high.7.vtk,458.5854797363281,451.0509033203125,1575.7196044921875,263.3690185546875,1.0001513957977295,0.9908660054206848,1.004889965057373,0,0,0.9908660054206848,1.004889965057373,1.0001513957977295,1575.7196044921875,571.5868530273438,1128.934326171875,1.000167965888977,2087,427.5342712402344,1575.7196044921875,1.0001468658447266,7595,0.0130033353343606,0.02543472684919834
8,radial_alpha_high.8.vtk,483.031494140625,470.3448486328125,1772.82470703125,270.0678405761719,1.0001609325408936,0.990356981754303,1.0051499605178833,0,0,0.990356981754303,1.0051499605178833,1.0001609325408936,1772.82470703125,612.177978515625,1158.38330078125,1.0001798868179321,2087,447.5438537597656,1772.82470703125,1.0001556873321533,7595,0.013762282207608223,0.028732983395457268
9,radial_alpha_high.9.vtk,502.6286926269531,476.5598449707031,1931.97705078125,284.2459716796875,1.0001736879348755,0.9902250170707703,1.005519986152649,0,0,0.9902250170707703,1.005519986152649,1.0001736879348755,1931.97705078125,634.6766967773438,1240.4508056640625,1.0001931190490723,2087,466.3437194824219,1931.97705078125,1.0001683235168457,7595,0.01433653850108385,0.03183846175670624
10,radial_alpha_high.10.vtk,516.5584716796875,484.1946105957031,2000.9869384765625,290.6151123046875,1.0001832246780396,0.9902409911155701,1.0057899951934814,0,0,0.9902409911155701,1.0057899951934814,1.0001832246780396,2000.9869384765625,651.3944702148438,1290.7421875,1.0002058744430542,2087,479.50738525390625,2000.9869384765625,1.0001767873764038,7595,0.014702538959681988,0.03337994962930679
11,radial_alpha_high.11.vtk,523.3670654296875,492.8624267578125,2000.05224609375,291.7294921875,1.0001877546310425,0.9902399778366089,1.0058599710464478,0,0,0.9902399778366089,1.0058599710464478,1.0001877546310425,2000.05224609375,661.8321533203125,1302.747314453125,1.0002131462097168,2087,485.31878662109375,2000.05224609375,1.0001806020736694,7595,0.014887502416968346,0.033705249428749084
12,radial_alpha_high.12.vtk,524.9898071289062,498.675537109375,1980.1082763671875,293.3445739746094,1.0001897811889648,0.9902349710464478,1.0058399438858032,0,0,0.9902349710464478,1.0058399438858032,1.0001897811889648,1980.1082763671875,664.30517578125,1303.086669921875,1.0002150535583496,2087,486.70794677734375,1980.1082763671875,1.0001827478408813,7595,0.014936935156583786,0.033424969762563705
