step,filename,vm_mean,vm_median,vm_max,vm_std,J_mean,J_min,J_max,inverted_elements,near_inverted_elements,min_J,max_J,mean_J,max_vm,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,radial_alpha_medium.0.vtk,502.1069641113281,470.87933349609375,1866.31982421875,292.64874267578125,1.0001827478408813,0.9902939796447754,1.0060499906539917,0,0,0.9902939796447754,1.0060499906539917,1.0001827478408813,1866.31982421875,653.268310546875,1312.7103271484375,1.0002082586288452,2087,460.5699157714844,1866.31982421875,1.0001757144927979,7595,0.01497251633554697,0.03299275413155556
1,radial_alpha_medium.1.vtk,710.5532836914062,599.6011352539062,2855.08642578125,510.219970703125,1.0003727674484253,0.9858980178833008,1.0089999437332153,0,0,0.9858980178833008,1.0089999437332153,1.0003727674484253,2855.08642578125,869.8834228515625,2105.275146484375,1.0003703832626343,2087,666.7715454101562,2855.08642578125,1.0003734827041626,7595,0.015212330035865307,0.03304032236337662
2,radial_alpha_medium.2.vtk,669.9256591796875,691.670166015625,2286.158203125,376.30230712890625,1.0002925395965576,0.9848089814186096,1.0074800252914429,0,0,0.9848089814186096,1.0074800252914429,1.0002925395965576,2286.158203125,913.192626953125,1592.357666015625,1.0003811120986938,2087,603.0792236328125,2286.158203125,1.0002681016921997,7595,0.014390627853572369,0.03326498717069626
3,radial_alpha_medium.3.vtk,507.3946533203125,496.17767333984375,1585.052734375,220.8945770263672,1.0001477003097534,0.9894710183143616,1.004870057106018,0,0,0.9894710183143616,1.004870057106018,1.0001477003097534,1585.052734375,741.6953735351562,999.0927124023438,1.0002474784851074,2087,443.0121154785156,1585.052734375,1.0001201629638672,7595,0.012025573290884495,0.03278414532542229
4,radial_alpha_medium.4.vtk,390.8088073730469,335.03472900390625,1651.3809814453125,203.97518920898438,1.000115990638733,0.9900360107421875,1.005270004272461,0,0,0.9900360107421875,1.005270004272461,1.000115990638733,1651.3809814453125,497.92657470703125,1027.654052734375,1.000124216079712,2087,361.37432861328125,1651.3809814453125,1.0001137256622314,7595,0.010963664390146732,0.029977085068821907
5,radial_alpha_medium.5.vtk,395.4017333984375,303.69366455078125,1532.6419677734375,294.5780029296875,1.0001438856124878,0.9910669922828674,1.0054500102996826,0,0,0.9910669922828674,1.0054500102996826,1.0001438856124878,1532.6419677734375,467.9630432128906,1259.1195068359375,1.0001283884048462,2087,375.4628601074219,1532.6419677734375,1.0001482963562012,7595,0.011800936423242092,0.025786135345697403
6,radial_alpha_medium.6.vtk,415.5431823730469,395.96453857421875,1441.0115966796875,297.14495849609375,1.0001510381698608,0.9913210272789001,1.0052299499511719,0,0,0.9913210272789001,1.0052299499511719,1.0001510381698608,1441.0115966796875,511.4407653808594,1202.9998779296875,1.0001534223556519,2087,389.19189453125,1441.0115966796875,1.0001503229141235,7595,0.01266151387244463,0.024019131436944008
7,radial_alpha_medium.7.vtk,456.083251953125,441.9747009277344,1538.7293701171875,269.804931640625,1.000156283378601,0.9908339977264404,1.0051499605178833,0,0,0.9908339977264404,1.0051499605178833,1.000156283378601,1538.7293701171875,585.6026611328125,1171.0596923828125,1.000175952911377,2087,420.4930725097656,1538.7293701171875,1.0001509189605713,7595,0.013527441769838333,0.026396233588457108
8,radial_alpha_medium.8.vtk,479.3175964355469,462.46624755859375,1720.96630859375,274.15478515625,1.0001646280288696,0.9903870224952698,1.0054600238800049,0,0,0.9903870224952698,1.0054600238800049,1.0001646280288696,1720.96630859375,625.433349609375,1203.36474609375,1.000187635421753,2087,439.1670227050781,1720.96630859375,1.0001583099365234,7595,0.014261789619922638,0.029522109776735306
9,radial_alpha_medium.9.vtk,497.1046142578125,467.17742919921875,1876.31884765625,289.17742919921875,1.0001771450042725,0.9903129935264587,1.005910038948059,0,0,0.9903129935264587,1.005910038948059,1.0001771450042725,1876.31884765625,647.4776611328125,1284.2425537109375,1.0002007484436035,2087,455.78424072265625,1876.31884765625,1.0001705884933472,7595,0.014826121740043163,0.03261431306600571
