step,filename,vm_mean,vm_median,vm_max,vm_std,J_mean,J_min,J_max,inverted_elements,near_inverted_elements,min_J,max_J,mean_J,max_vm,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,radial_center_offset.0.vtk,501.414794921875,470.14727783203125,1863.525146484375,292.73126220703125,1.0001821517944336,0.99031001329422,1.0058799982070923,0,0,0.99031001329422,1.0058799982070923,1.0001821517944336,1863.525146484375,653.8573608398438,1306.624755859375,1.0002086162567139,2087,459.52569580078125,1863.525146484375,1.0001747608184814,7595,0.014974109828472137,0.03303096443414688
1,radial_center_offset.1.vtk,709.5770263671875,599.884765625,2849.7119140625,509.870849609375,1.0003719329833984,0.9858980178833008,1.0087499618530273,0,0,0.9858980178833008,1.0087499618530273,1.0003719329833984,2849.7119140625,870.64599609375,2099.130859375,1.0003710985183716,2087,665.3174438476562,2849.7119140625,1.000372290611267,7595,0.015217011794447899,0.033078741282224655
2,radial_center_offset.2.vtk,668.7238159179688,689.8258056640625,2281.15625,376.2514343261719,1.0002917051315308,0.9848179817199707,1.0072699785232544,0,0,0.9848179817199707,1.0072699785232544,1.0002917051315308,2281.15625,913.75732421875,1583.478271484375,1.0003817081451416,2087,601.3920288085938,2281.15625,1.0002670288085938,7595,0.014398204162716866,0.03330443426966667
3,radial_center_offset.3.vtk,506.3505554199219,494.66046142578125,1581.448486328125,221.1864776611328,1.0001472234725952,0.9894959926605225,1.0047800540924072,0,0,0.9894959926605225,1.0047800540924072,1.0001472234725952,1581.448486328125,742.10986328125,997.403564453125,1.0002477169036865,2087,441.5672302246094,1581.448486328125,1.000119686126709,7595,0.012033204548060894,0.032825954258441925
4,radial_center_offset.4.vtk,391.99578857421875,332.86993408203125,1675.9898681640625,208.99888610839844,1.0001177787780762,0.9900060296058655,1.0052399635314941,0,0,0.9900060296058655,1.0052399635314941,1.0001177787780762,1675.9898681640625,497.39910888671875,1040.0654296875,1.0001230239868164,2087,363.03240966796875,1675.9898681640625,1.0001163482666016,7595,0.010974536649882793,0.030017303302884102
5,radial_center_offset.5.vtk,396.2917785644531,303.07257080078125,1537.6300048828125,298.1495666503906,1.0001448392868042,0.9910839796066284,1.005329966545105,0,0,0.9910839796066284,1.005329966545105,1.0001448392868042,1537.6300048828125,468.2530517578125,1269.2222900390625,1.0001282691955566,2087,376.5178527832031,1537.6300048828125,1.0001493692398071,7595,0.011817273683845997,0.025783265009522438
6,radial_center_offset.6.vtk,415.46142578125,396.25933837890625,1441.0909423828125,297.66253662109375,1.000150442123413,0.9913570284843445,1.0050699710845947,0,0,0.9913570284843445,1.0050699710845947,1.000150442123413,1441.0909423828125,512.3744506835938,1201.881591796875,1.0001530647277832,2087,388.8310546875,1441.0909423828125,1.0001498460769653,7595,0.012668333947658539,0.02399681881070137
7,radial_center_offset.7.vtk,455.96746826171875,440.9532165527344,1536.6429443359375,268.6054382324219,1.000156044960022,0.9908660054206848,1.0049899816513062,0,0,0.9908660054206848,1.0049899816513062,1.000156044960022,1536.6429443359375,587.0421752929688,1173.510498046875,1.0001773834228516,2087,419.9499816894531,1536.6429443359375,1.000150203704834,7595,0.013530186377465725,0.026508647948503494
8,radial_center_offset.8.vtk,478.8402099609375,461.96771240234375,1721.791015625,273.709716796875,1.0001641511917114,0.9904090166091919,1.0053000450134277,0,0,0.9904090166091919,1.0053000450134277,1.0001641511917114,1721.791015625,626.1964721679688,1197.03125,1.0001879930496216,2087,438.3487854003906,1721.791015625,1.0001574754714966,7595,0.014264536090195179,0.029543139040470123
9,radial_center_offset.9.vtk,496.4434509277344,466.10565185546875,1875.226806640625,289.4353942871094,1.0001766681671143,0.9903320074081421,1.0057400465011597,0,0,0.9903320074081421,1.0057400465011597,1.0001766681671143,1875.226806640625,647.9197387695312,1278.92529296875,1.000200867652893,2087,454.81988525390625,1875.226806640625,1.000170111656189,7595,0.014828798361122608,0.0326569490134716
