model,landmark,displacement_mm,disp_x_mm,disp_y_mm,disp_z_mm,position_x,position_y,position_z,relative_to_baseline
Homogeneous_baseline,nipple,1.5165639,-0.0017674993,-0.329659,1.4803,0.0,0.07350000000000001,0.0,True
Homogeneous_baseline,left,9.743089,1.64759,0.574014,9.5856,-0.0603015764843161,0.03554680883224428,-0.000379809623440429,True
Homogeneous_baseline,right,9.808439,-1.49123,0.558769,9.6783,0.06086968495572336,0.0345208165353466,-0.0017873665331783872,True
Homogeneous_baseline,superior,6.4566836,-0.081673004,0.99650025,6.3787994,0.002013846317339302,0.03428847552131859,0.0609938100911402,True
Homogeneous_baseline,inferior,4.7515893,0.373352,0.84125066,4.661599,0.003804804105492022,0.0342903639268729,-0.060907260712344015,True
Radial_density,nipple,2.112729,0.0033240994,-0.27082098,2.0952969,0.0,0.07350000000000001,0.0,True
Radial_density,left,9.794087,1.61127,0.55472904,9.6447,-0.0603015764843161,0.03554680883224428,-0.000379809623440429,True
Radial_density,right,9.842343,-1.5035499,0.56150496,9.710601,0.06086968495572336,0.0345208165353466,-0.0017873665331783872,True
Radial_density,superior,6.4321685,-0.09610099,0.90962976,6.366799,0.002013846317339302,0.03428847552131859,0.0609938100911402,True
Radial_density,inferior,4.794412,0.36352697,0.7778797,4.7168994,0.003804804105492022,0.0342903639268729,-0.060907260712344015,True
Radial_coef,nipple,2.8750362,0.0042791,-0.043737993,2.8747003,0.0,0.07350000000000001,0.0,True
Radial_coef,left,9.77274,1.15149,0.44645602,9.69439,-0.0603015764843161,0.03554680883224428,-0.000379809623440429,True
Radial_coef,right,9.740923,-1.0452199,0.45244202,9.674109,0.06086968495572336,0.0345208165353466,-0.0017873665331783872,True
Radial_coef,superior,6.759383,-0.06608799,0.78857994,6.7129006,0.002013846317339302,0.03428847552131859,0.0609938100911402,True
Radial_coef,inferior,5.7744617,0.32712197,1.6203499,5.5327992,0.003804804105492022,0.0342903639268729,-0.060907260712344015,True
Lobular_only,nipple,2.309518,0.0036780003,-0.20718999,2.3002028,0.0,0.07350000000000001,0.0,True
Lobular_only,left,9.679829,1.47026,0.517748,9.553499,-0.0603015764843161,0.03554680883224428,-0.000379809623440429,True
Lobular_only,right,9.710056,-1.36404,0.523644,9.5995,0.06086968495572336,0.0345208165353466,-0.0017873665331783872,True
Lobular_only,superior,6.3908935,-0.090091996,0.8725999,6.3304005,0.002013846317339302,0.03428847552131859,0.0609938100911402,True
Lobular_only,inferior,4.9745016,0.34817198,1.00822,4.8587995,0.003804804105492022,0.0342903639268729,-0.060907260712344015,True
Heterogeneity_and_lobular,nipple,2.715259,0.0041101994,-0.07571599,2.7142,0.0,0.07350000000000001,0.0,True
Heterogeneity_and_lobular,left,9.692349,1.22588,0.44844398,9.604049,-0.0603015764843161,0.03554680883224428,-0.000379809623440429,True
Heterogeneity_and_lobular,right,9.675591,-1.1206499,0.45558098,9.599669,0.06086968495572336,0.0345208165353466,-0.0017873665331783872,True
Heterogeneity_and_lobular,superior,6.6411605,-0.07051298,0.79770994,6.5927005,0.002013846317339302,0.03428847552131859,0.0609938100911402,True
Heterogeneity_and_lobular,inferior,5.521404,0.333698,1.4827698,5.308101,0.003804804105492022,0.0342903639268729,-0.060907260712344015,True
full_adipose_density,nipple,2.2871933,0.0036968994,-0.212474,2.2773,0.0,0.07350000000000001,0.0,True
full_adipose_density,left,9.667601,1.4672999,0.518944,9.5415,-0.0603015764843161,0.03554680883224428,-0.000379809623440429,True
full_adipose_density,right,9.697725,-1.36092,0.5249,9.5874,0.06086968495572336,0.0345208165353466,-0.0017873665331783872,True
full_adipose_density,superior,6.3911543,-0.089627005,0.87528026,6.3303003,0.002013846317339302,0.03428847552131859,0.0609938100911402,True
full_adipose_density,inferior,4.973109,0.34761998,1.0169195,4.8555994,0.003804804105492022,0.0342903639268729,-0.060907260712344015,True
full_glandular_density,nipple,0.9564555,0.0029987986,-0.543241,0.78720224,0.0,0.07350000000000001,0.0,True
full_glandular_density,left,8.921987,1.9853201,0.56998,8.679601,-0.0603015764843161,0.03554680883224428,-0.000379809623440429,True
full_glandular_density,right,9.053745,-1.8981102,0.58029604,8.833501,0.06086968495572336,0.0345208165353466,-0.0017873665331783872,True
full_glandular_density,superior,5.948382,-0.102552004,1.0849596,5.8477,0.002013846317339302,0.03428847552131859,0.0609938100911402,True
full_glandular_density,inferior,3.6405013,0.35647398,-0.22359937,3.6161,0.003804804105492022,0.0342903639268729,-0.060907260712344015,True
full_density_and_coefs,nipple,1.4739077,0.0069222003,-0.63308054,-1.3310015,0.0,0.07350000000000001,0.0,True
full_density_and_coefs,left,8.88392,2.0715702,0.49017894,8.6251,-0.0603015764843161,0.03554680883224428,-0.000379809623440429,True
full_density_and_coefs,right,8.970149,-1.96815,0.511653,8.7366,0.06086968495572336,0.0345208165353466,-0.0017873665331783872,True
full_density_and_coefs,superior,6.4415755,-0.061753,1.1592698,6.3361006,0.002013846317339302,0.03428847552131859,0.0609938100911402,True
full_density_and_coefs,inferior,3.5994651,0.405704,-0.030299649,3.5763998,0.003804804105492022,0.0342903639268729,-0.060907260712344015,True
