step,mean,median,max,std
0,23.67692,25.504383,41.725105,12.345226
1,23.183802,24.406841,41.958187,12.529859
2,21.571987,21.696735,42.15443,13.2743
3,20.0596,19.366726,40.650196,12.242374
4,19.615616,20.376242,37.2708,10.244426
5,20.29394,23.056725,34.538593,9.93925
6,21.585423,24.333672,34.671772,10.81855
7,22.487955,24.874046,36.67937,11.514519
8,22.999836,25.178827,38.88423,11.901671
9,23.35878,25.361485,40.955967,12.252441
10,23.652563,25.477873,42.126,12.570476
11,23.894073,25.673347,42.63734,12.77516
12,24.05958,25.90047,42.72572,12.840604
13,24.129845,26.049158,42.586445,12.810448
14,24.117004,26.106888,42.37045,12.750181
15,24.05346,26.061657,42.179657,12.69891
16,23.970469,25.962093,42.044376,12.661597
17,23.889063,25.86108,41.947018,12.629558
18,23.820791,25.762135,41.863052,12.598078
19,23.770222,25.7169,41.782986,12.569157
