step,mean,median,max,std
0,17.813156,19.043858,31.47056,9.128835
1,17.230587,17.177734,31.746067,9.211213
2,15.009939,13.683546,31.421371,9.489612
3,12.97196,12.1512165,28.292294,8.0539055
4,13.136894,14.199665,23.728493,6.303641
5,14.578333,17.20301,22.034477,6.89442
6,16.093128,18.078442,25.495983,8.046155
7,17.01381,18.652786,28.455345,8.755467
8,17.62707,18.99715,31.409624,9.309222
9,18.087479,19.305748,32.87578,9.727846
10,18.385794,19.607197,33.267105,9.914786
11,18.492218,19.836311,33.058933,9.894509
12,18.429447,19.879635,32.608704,9.775817
13,18.269552,19.764791,32.193073,9.652386
14,18.08604,19.542585,31.887747,9.557193
15,17.925213,19.355541,31.669796,9.484704
16,17.80757,19.217167,31.496473,9.426594
17,17.736876,19.142185,31.359375,9.38369
18,17.706623,19.112106,31.272806,9.359509
19,17.705248,19.114464,31.244638,9.35353
