step,filename,n_elements,vm_mean,vm_median,vm_max,vm_std,J_mean,J_median,J_std,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,heterogeneous_c.0.vtk,23380,699.0786743164062,593.5501708984375,2700.291015625,489.2987060546875,1.0003609657287598,1.0001499652862549,0.000903894251678139,860.624755859375,2118.51123046875,1.0003747940063477,5071,654.335693359375,2700.291015625,1.000356912612915,18309,0.014676694758236408,0.031972840428352356
1,heterogeneous_c.1.vtk,23380,668.176513671875,698.2889404296875,2090.81396484375,357.2886962890625,1.0002855062484741,1.000190019607544,0.000859212304931134,905.0296630859375,1591.032470703125,1.0003855228424072,5071,602.5758666992188,2090.81396484375,1.000257968902588,18309,0.013746948912739754,0.03228107467293739
2,heterogeneous_c.2.vtk,23380,507.4474792480469,496.73797607421875,1442.3436279296875,203.5990753173828,1.0001425743103027,1.0001300573349,0.0006356147350743413,727.382568359375,955.8699951171875,1.0002448558807373,5071,446.5326232910156,1442.3436279296875,1.0001143217086792,18309,0.011364186182618141,0.03207477927207947
3,heterogeneous_c.3.vtk,23380,380.91162109375,327.1461181640625,1664.6778564453125,200.6046142578125,1.0001106262207031,1.000059962272644,0.00046226350241340697,474.11181640625,1083.5740966796875,1.0001143217086792,5071,355.0981750488281,1664.6778564453125,1.0001096725463867,18309,0.010414096526801586,0.029098546132445335
4,heterogeneous_c.4.vtk,23380,380.3277282714844,287.81671142578125,1419.8897705078125,280.9190673828125,1.000134825706482,1.0000499486923218,0.00045839068479835987,448.219970703125,1251.4342041015625,1.0001264810562134,5071,361.5238037109375,1419.8897705078125,1.0001373291015625,18309,0.011347631923854351,0.024302154779434204
5,heterogeneous_c.5.vtk,23380,404.1201171875,395.48699951171875,1365.3865966796875,279.3285217285156,1.00014066696167,1.0000699758529663,0.0004572049656417221,496.09722900390625,1193.5853271484375,1.0001513957977295,5071,378.6453552246094,1365.3865966796875,1.0001378059387207,18309,0.012233066372573376,0.022200623527169228
6,heterogeneous_c.6.vtk,23380,448.3216857910156,437.5800476074219,1499.079833984375,249.4437713623047,1.0001484155654907,1.0000900030136108,0.00048784815589897335,574.3413696289062,1149.873291015625,1.0001758337020874,5071,413.4183044433594,1499.079833984375,1.0001410245895386,18309,0.013100536540150642,0.0254959836602211
7,heterogeneous_c.7.vtk,23380,470.55450439453125,454.92803955078125,1681.9315185546875,257.89862060546875,1.0001579523086548,1.0000900030136108,0.0005419657099992037,611.7068481445312,1197.8878173828125,1.0001860857009888,5071,431.45989990234375,1681.9315185546875,1.000150203704834,18309,0.013856715522706509,0.02864309586584568
8,heterogeneous_c.8.vtk,23380,489.53472900390625,461.3095703125,1811.4639892578125,272.1732482910156,1.0001702308654785,1.0000900030136108,0.0005929184262640774,634.0855102539062,1291.746337890625,1.0001999139785767,5071,449.49884033203125,1811.4639892578125,1.0001620054244995,18309,0.014445004984736443,0.03187958896160126
9,heterogeneous_c.9.vtk,23380,503.6957092285156,468.35638427734375,1865.5108642578125,277.8232727050781,1.0001790523529053,1.0000900030136108,0.0006218363996595144,651.969970703125,1348.6300048828125,1.0002135038375854,5071,462.62860107421875,1865.5108642578125,1.0001696348190308,18309,0.014825587160885334,0.033493489027023315
10,heterogeneous_c.10.vtk,23380,511.1600036621094,478.24505615234375,1872.5426025390625,278.7025451660156,1.0001837015151978,1.0000900030136108,0.0006297337240539491,663.7383422851562,1362.4486083984375,1.0002212524414062,5071,468.9007568359375,1872.5426025390625,1.0001734495162964,18309,0.015028798021376133,0.03386606276035309
11,heterogeneous_c.11.vtk,23380,513.43798828125,484.4384765625,1865.9940185546875,280.7601318359375,1.0001863241195679,1.000100016593933,0.0006279940716922283,667.1228637695312,1363.868408203125,1.0002237558364868,5071,470.872314453125,1865.9940185546875,1.0001760721206665,18309,0.015099391341209412,0.03361165151000023
12,heterogeneous_c.12.vtk,23380,511.6505126953125,485.2318115234375,1859.204345703125,283.1164855957031,1.0001866817474365,1.000100016593933,0.0006230411236174405,663.2734375,1362.308837890625,1.0002224445343018,5071,469.6559143066406,1859.204345703125,1.0001767873764038,18309,0.01506244856864214,0.03313599154353142
13,heterogeneous_c.13.vtk,23380,507.28887939453125,480.9439697265625,1850.0047607421875,282.7408142089844,1.0001840591430664,1.0000900030136108,0.0006163708749227226,656.5078735351562,1352.5943603515625,1.000218391418457,5071,465.96002197265625,1850.0047607421875,1.000174641609192,18309,0.014948216266930103,0.032691799104213715
14,heterogeneous_c.14.vtk,23380,502.0731506347656,475.27520751953125,1835.392333984375,279.71343994140625,1.0001801252365112,1.0000900030136108,0.0006090583628974855,649.7817993164062,1336.58837890625,1.000213623046875,5071,461.16265869140625,1835.392333984375,1.0001709461212158,18309,0.01480246800929308,0.03237593173980713
15,heterogeneous_c.15.vtk,23380,497.3487548828125,469.9757080078125,1818.077392578125,276.29620361328125,1.0001765489578247,1.0000900030136108,0.0006024320609867573,643.9620971679688,1322.0032958984375,1.0002093315124512,5071,456.7416076660156,1818.077392578125,1.0001674890518188,18309,0.014668681658804417,0.032160595059394836
16,heterogeneous_c.16.vtk,23380,493.8358459472656,466.2505187988281,1803.0296630859375,274.0896301269531,1.0001742839813232,1.0000900030136108,0.0005975555395707488,639.3394165039062,1313.2071533203125,1.0002065896987915,5071,453.53607177734375,1803.0296630859375,1.0001652240753174,18309,0.014571244828402996,0.03199317306280136
17,heterogeneous_c.17.vtk,23380,491.71051025390625,464.1487121582031,1793.13525390625,273.2115173339844,1.0001732110977173,1.0000900030136108,0.0005945182056166232,636.2567138671875,1309.4296875,1.000205159187317,5071,451.67596435546875,1793.13525390625,1.0001643896102905,18309,0.014514479786157608,0.03185800835490227
18,heterogeneous_c.18.vtk,23380,490.79931640625,463.40643310546875,1788.6063232421875,273.0919189453125,1.0001729726791382,1.0000900030136108,0.0005930463084951043,634.8218383789062,1308.247314453125,1.0002048015594482,5071,450.9097595214844,1788.6063232421875,1.0001641511917114,18309,0.014491172507405281,0.03176885098218918
19,heterogeneous_c.19.vtk,23380,490.7627868652344,463.606689453125,1788.2457275390625,273.259521484375,1.0001729726791382,1.0000900030136108,0.000592767377384007,634.7188110351562,1308.205078125,1.0002046823501587,5071,450.8916320800781,1788.2457275390625,1.0001641511917114,18309,0.014490757137537003,0.03173672780394554
