step,mean,median,max,std
0,24.0232,25.173786,44.95606,13.108268
1,23.502834,23.980782,45.158142,13.33519
2,21.842459,20.86177,46.010086,14.202766
3,20.596859,18.943855,46.151142,13.371993
4,20.479761,20.775446,42.645123,11.341727
5,21.028725,23.49085,37.3091,10.797265
6,21.973394,24.256775,35.78758,11.451604
7,22.731403,24.500767,38.711433,12.166798
8,23.185024,24.62836,42.22414,12.649963
9,23.504059,24.74355,44.44591,13.031189
10,23.788424,24.924171,45.34276,13.326482
11,24.046118,25.20499,45.611904,13.498609
12,24.242456,25.476297,45.66018,13.556791
13,24.34611,25.674217,45.602867,13.548573
14,24.360432,25.718681,45.49937,13.519619
15,24.31791,25.664158,45.408203,13.493071
16,24.253654,25.577,45.3476,13.471487
17,24.189104,25.499567,45.29411,13.4490385
18,24.132933,25.433357,45.219986,13.422165
19,24.087746,25.390572,45.123173,13.392866
