step,mean,median,max,std
0,19.778975,21.289307,34.67326,10.148331
1,19.24755,19.796097,34.929077,10.283051
2,17.260258,16.558598,34.67312,10.728081
3,15.356134,14.606276,32.123447,9.405521
4,15.215724,16.156536,28.139011,7.5421367
5,16.420294,19.169813,26.176195,7.8169675
6,17.927,20.176746,28.187729,8.929333
7,18.846205,20.828062,30.746368,9.595483
8,19.41074,21.198303,33.476078,10.057935
9,19.832193,21.422226,35.29697,10.47937
10,20.146961,21.614624,36.098297,10.757217
11,20.330622,21.855297,36.186394,10.836779
12,20.369764,22.02327,35.902924,10.774895
13,20.29566,22.015837,35.51832,10.668646
14,20.163883,21.878477,35.19543,10.57745
15,20.022318,21.717834,34.97217,10.510332
16,19.90018,21.567167,34.81611,10.457046
17,19.81086,21.480186,34.693184,10.412603
18,19.756351,21.433823,34.594704,10.37937
19,19.731277,21.405928,34.527924,10.359961
