step,mean,median,max,std
0,18.328402,19.633217,32.293503,9.402328
1,17.75644,17.853397,32.566376,9.497875
2,15.598395,14.420172,32.240677,9.813352
3,13.6121645,12.793297,29.29409,8.423417
4,13.71491,14.749441,24.921574,6.6422896
5,15.078236,17.737604,23.14963,7.1417174
6,16.561716,18.608696,26.154194,8.268283
7,17.473305,19.199738,28.972164,8.968391
8,18.07446,19.542675,31.91851,9.501589
9,18.530802,19.830986,33.48428,9.923684
10,18.84176,20.112774,33.97216,10.13718
11,18.975302,20.371037,33.849335,10.145222
12,18.943226,20.44012,33.442936,10.042926
13,18.807533,20.373978,33.047558,9.925392
14,18.63796,20.17318,32.74735,9.832532
15,18.48165,19.976202,32.53263,9.762106
16,18.361563,19.833618,32.36311,9.704946
17,18.284332,19.747484,32.22489,9.660552
18,18.246109,19.718029,32.12912,9.6326475
19,18.237272,19.721462,32.085987,9.622003
