step,filename,n_elements,vm_mean,vm_median,vm_max,vm_std,J_mean,J_median,J_std,part1_vm_mean,part1_vm_max,part1_J_mean,part1_n_elem,part2_vm_mean,part2_vm_max,part2_J_mean,part2_n_elem,disp_mean,disp_max
0,heterogeneous_density.0.vtk,23380,713.3018798828125,580.4884033203125,2685.758544921875,527.1394653320312,1.0003995895385742,1.0001599788665771,0.0009771131444722414,932.3807983398438,2404.394775390625,1.000427484512329,5071,652.6241455078125,2685.758544921875,1.0003918409347534,18309,0.016654541715979576,0.03624673932790756
1,heterogeneous_density.1.vtk,23380,681.9961547851562,697.4759521484375,2023.5633544921875,399.39239501953125,1.0003209114074707,1.0002000331878662,0.0009339018724858761,978.5711059570312,1841.737548828125,1.0004382133483887,5071,599.8545532226562,2023.5633544921875,1.0002886056900024,18309,0.01572192832827568,0.036563608795404434
2,heterogeneous_density.2.vtk,23380,532.7424926757812,516.9890747070312,1391.2548828125,238.5161590576172,1.0001704692840576,1.0001599788665771,0.0007287421613000333,807.3656005859375,1129.605712890625,1.0002951622009277,5071,456.6807861328125,1391.2548828125,1.0001357793807983,18309,0.01346348226070404,0.03654411807656288
3,heterogeneous_density.3.vtk,23380,419.5158996582031,351.970947265625,1773.9722900390625,223.4345245361328,1.000138282775879,1.0000799894332886,0.0005531093338504434,558.7119140625,1276.8072509765625,1.0001533031463623,5071,380.9631042480469,1773.9722900390625,1.0001342296600342,18309,0.012637905776500702,0.03415607288479805
4,heterogeneous_density.4.vtk,23380,415.14990234375,312.6486511230469,1541.739013671875,303.75042724609375,1.0001623630523682,1.000059962272644,0.0005353763117454946,533.8811645507812,1434.3048095703125,1.0001627206802368,5071,382.2651672363281,1541.739013671875,1.0001622438430786,18309,0.01345450896769762,0.03005620650947094
5,heterogeneous_density.5.vtk,23380,430.02960205078125,399.3084716796875,1432.913330078125,309.7080993652344,1.0001713037490845,1.0000799894332886,0.0005267995875328779,570.72705078125,1401.1678466796875,1.000192403793335,5071,391.0609436035156,1432.913330078125,1.000165581703186,18309,0.014193501323461533,0.02763713151216507
6,heterogeneous_density.6.vtk,23380,465.2403869628906,439.77850341796875,1514.818359375,278.791015625,1.0001747608184814,1.000100016593933,0.0005434878985397518,632.6097412109375,1344.6219482421875,1.0002139806747437,5071,418.8844299316406,1514.818359375,1.0001639127731323,18309,0.014936864376068115,0.028882060199975967
7,heterogeneous_density.7.vtk,23380,486.4924621582031,461.8221435546875,1665.8048095703125,278.76055908203125,1.000180721282959,1.0001100301742554,0.000587851507589221,667.9871215820312,1365.0711669921875,1.0002210140228271,5071,436.2243347167969,1665.8048095703125,1.0001697540283203,18309,0.015620599500834942,0.0314914770424366
8,heterogeneous_density.8.vtk,23380,500.67926025390625,466.42425537109375,1779.9033203125,297.1060791015625,1.0001922845840454,1.000100016593933,0.0006375075317919254,688.5804443359375,1451.740966796875,1.000232219696045,5071,448.6367492675781,1779.9033203125,1.0001811981201172,18309,0.016190974041819572,0.03456379845738411
9,heterogeneous_density.9.vtk,23380,513.9406127929688,470.7388610839844,1831.78857421875,307.06207275390625,1.0002027750015259,1.000100016593933,0.0006718633230775595,708.1290893554688,1524.51708984375,1.000247597694397,5071,460.1567077636719,1831.78857421875,1.000190258026123,18309,0.0165893342345953,0.03671075403690338
