step,mean,median,max,std
0,20.370037,21.95634,35.63254,10.458672
1,19.849968,20.572754,35.89071,10.607102
2,17.916245,17.341625,35.71542,11.128733
3,15.998973,15.22733,33.26087,9.822556
4,15.769921,16.641464,29.352915,7.880476
5,16.919304,19.704506,27.254944,8.059467
6,18.432703,20.77639,28.882061,9.164453
7,19.366377,21.433388,31.491478,9.8393955
8,19.931417,21.824959,34.073483,10.288578
9,20.35221,22.00976,36.016933,10.711311
10,20.675976,22.21838,36.93068,11.013844
11,20.881325,22.447407,37.109833,11.12447
12,20.948238,22.651527,36.882637,11.082806
13,20.89871,22.683872,36.520794,10.983196
14,20.783257,22.566294,36.199036,10.8925
15,20.64925,22.422548,35.971027,10.825911
16,20.527515,22.265617,35.813282,10.773824
17,20.433792,22.156094,35.690804,10.7294
18,20.372559,22.08525,35.590218,10.694111
19,20.34047,22.062973,35.51587,10.671206
