step,mean,median,max,std
0,20.51079,22.004755,36.402786,10.633299
1,19.98129,20.573788,36.641056,10.776687
2,18.064236,17.251232,36.752625,11.331138
3,16.216015,15.31555,34.5999,10.070411
4,16.01908,16.882172,30.404963,8.117781
5,17.096066,19.799717,27.672375,8.22639
6,18.543,20.837723,29.226173,9.283266
7,19.462597,21.474949,31.920437,9.962107
8,20.022823,21.801666,34.84898,10.431313
9,20.4424,22.022186,36.750546,10.865644
10,20.770596,22.194801,37.62956,11.167819
11,20.98814,22.440775,37.8263,11.276945
12,21.0717,22.662582,37.63252,11.241056
13,21.036512,22.72053,37.295994,11.151788
14,20.93009,22.647354,36.990913,11.0698
15,20.800968,22.48988,36.77673,11.007691
16,20.681614,22.34743,36.627766,10.956654
17,20.58836,22.252277,36.5045,10.911354
18,20.52584,22.179173,36.395027,10.874212
19,20.491114,22.146053,36.309685,10.849025
